Race,Year,Household Income by Race,Household Income by Race Moe,County,State
Asian,2019,53864,20416.0,Onondaga County, NY
Asian,2019,161189,66744.0,Ontario County, NY
Asian,2019,106036,43567.0,Orange County, NY
Asian,2019,72727,68667.0,Oswego County, NY
Asian,2019,131485,67909.0,Putnam County, NY
Asian,2019,70849,1669.0,Queens County, NY
Asian,2019,100114,17212.0,Rensselaer County, NY
Asian,2019,74787,11508.0,Richmond County, NY
Asian,2019,151224,21004.0,Rockland County, NY
Asian,2019,120804,8621.0,Saratoga County, NY
Asian,2019,54456,36856.0,Schenectady County, NY
Asian,2019,131029,13221.0,Steuben County, NY
Asian,2019,106959,17093.0,Suffolk County, NY
Asian,2019,43343,21009.0,Tompkins County, NY
Asian,2019,106096,23196.0,Ulster County, NY
Asian,2019,39216,13348.0,Warren County, NY
Asian,2019,48111,33822.0,Wayne County, NY
Asian,2019,150456,12374.0,Westchester County, NY
Pacific Islander,2019,51332,278.0,Onondaga County, NY
Other,2019,58925,56159.0,Albany County, NY
Other,2019,35770,2633.0,Bronx County, NY
Other,2019,63297,41836.0,Cattaraugus County, NY
Other,2019,79354,60578.0,Chautauqua County, NY
Other,2019,93007,40928.0,Dutchess County, NY
Other,2019,25722,7970.0,Erie County, NY
Other,2019,44374,3412.0,Kings County, NY
Other,2019,32444,9591.0,Monroe County, NY
Other,2019,94729,11615.0,Nassau County, NY
Other,2019,36963,4040.0,New York County, NY
Other,2019,46326,42997.0,Oneida County, NY
Other,2019,35502,10107.0,Onondaga County, NY
Other,2019,75273,22459.0,Orange County, NY
Other,2019,95028,15255.999999999998,Putnam County, NY
Other,2019,63370,3712.0,Queens County, NY
Other,2019,27970,12383.0,Rensselaer County, NY
Other,2019,50357,10067.0,Richmond County, NY
Other,2019,54777,13595.000000000002,Rockland County, NY
Other,2019,40932,19904.0,Schenectady County, NY
Other,2019,91243,23409.0,Suffolk County, NY
Other,2019,61135,3381.0,Sullivan County, NY
Other,2019,41935,40525.0,Tompkins County, NY
Other,2019,65228,12319.0,Ulster County, NY
Other,2019,34077,9798.0,Wayne County, NY
Other,2019,60029,11663.0,Westchester County, NY
Two Or More,2019,40161,27477.0,Albany County, NY
Two Or More,2019,42038,4950.0,Bronx County, NY
Two Or More,2019,27640,16887.0,Broome County, NY
Two Or More,2019,76042,20466.0,Chautauqua County, NY
Two Or More,2019,67896,62841.0,Chemung County, NY
Two Or More,2019,65897,18189.0,Clinton County, NY
Two Or More,2019,120588,120777.0,Dutchess County, NY
Two Or More,2019,47243,11263.0,Erie County, NY
Two Or More,2019,73630,8968.0,Kings County, NY
Two Or More,2019,30060,29838.0,Madison County, NY
