Race,Year,Household Income by Race,Household Income by Race Moe,County,State
Hispanic,2018,38877,14228.999999999998,Oneida County, NY
Hispanic,2018,32735,8163.999999999999,Onondaga County, NY
Hispanic,2018,66938,10217.0,Orange County, NY
Hispanic,2018,57664,25914.0,Oswego County, NY
Hispanic,2018,80998,18063.0,Putnam County, NY
Hispanic,2018,61080,1847.0,Queens County, NY
Hispanic,2018,36491,13069.0,Rensselaer County, NY
Hispanic,2018,62716,9195.0,Richmond County, NY
Hispanic,2018,78969,24012.0,Rockland County, NY
Hispanic,2018,57170,2803.0,St. Lawrence County, NY
Hispanic,2018,113409,42549.0,Saratoga County, NY
Hispanic,2018,58663,26428.0,Steuben County, NY
Hispanic,2018,85622,9313.0,Suffolk County, NY
Hispanic,2018,60597,31998.0,Sullivan County, NY
Hispanic,2018,53404,21115.0,Tompkins County, NY
Hispanic,2018,39423,7614.0,Ulster County, NY
Hispanic,2018,63466,4453.0,Westchester County, NY
Total,2017,66204,3583.0,Albany County, NY
Total,2017,37397,1444.0,Bronx County, NY
Total,2017,47758,2719.0,Broome County, NY
Total,2017,48484,3625.0,Cattaraugus County, NY
Total,2017,56599,3700.0,Cayuga County, NY
Total,2017,46079,2670.0,Chautauqua County, NY
Total,2017,51194,4868.0,Chemung County, NY
Total,2017,58234,4388.0,Clinton County, NY
Total,2017,77915,4902.0,Dutchess County, NY
Total,2017,55604,1224.0,Erie County, NY
Total,2017,47101,2551.0,Jefferson County, NY
Total,2017,56942,1151.0,Kings County, NY
Total,2017,55931,3445.0000000000005,Livingston County, NY
Total,2017,57069,6307.0,Madison County, NY
Total,2017,57561,1799.0,Monroe County, NY
Total,2017,108133,2724.0,Nassau County, NY
Total,2017,85071,3519.9999999999995,New York County, NY
Total,2017,54743,2780.0,Niagara County, NY
Total,2017,53902,2438.0,Oneida County, NY
Total,2017,57652,1941.0,Onondaga County, NY
Total,2017,66004,3939.0,Ontario County, NY
Total,2017,79311,4104.0,Orange County, NY
Total,2017,53406,3806.0,Oswego County, NY
Total,2017,99479,8674.0,Putnam County, NY
Total,2017,64509,1327.0,Queens County, NY
Total,2017,64050,3738.0,Rensselaer County, NY
Total,2017,79201,2788.0,Richmond County, NY
Total,2017,88726,4085.0,Rockland County, NY
Total,2017,50325,3063.0,St. Lawrence County, NY
Total,2017,83726,4436.0,Saratoga County, NY
Total,2017,62514,3196.0,Schenectady County, NY
Total,2017,50930,2974.0,Steuben County, NY
Total,2017,94750,2550.0,Suffolk County, NY
Total,2017,55309,7161.999999999999,Sullivan County, NY
Total,2017,56672,6303.0,Tompkins County, NY
Total,2017,63621,3907.0,Ulster County, NY
Total,2017,60541,4759.0,Warren County, NY
Total,2017,51326,3133.0,Wayne County, NY
Total,2017,90578,3039.0,Westchester County, NY
White,2017,73561,3412.0,Albany County, NY
White,2017,48020,3590.0,Bronx County, NY
White,2017,50829,3502.0,Broome County, NY
White,2017,49725,3143.0,Cattaraugus County, NY
White,2017,57044,3806.0,Cayuga County, NY
White,2017,46708,2734.0,Chautauqua County, NY
White,2017,51961,5662.0,Chemung County, NY
White,2017,58248,4377.0,Clinton County, NY
White,2017,82821,4705.0,Dutchess County, NY
White,2017,62082,1014.0,Erie County, NY
White,2017,48680,2995.0,Jefferson County, NY
White,2017,75185,2230.0,Kings County, NY
White,2017,56784,4087.0,Livingston County, NY
White,2017,55997,6491.0,Madison County, NY
White,2017,65031,2103.0,Monroe County, NY
White,2017,114508,4246.0,Nassau County, NY
White,2017,114659,5262.0,New York County, NY
White,2017,58266,3236.0,Niagara County, NY
White,2017,56335,2181.0,Oneida County, NY
White,2017,64336,2474.0,Onondaga County, NY
White,2017,68189,5681.0,Ontario County, NY
White,2017,83452,4907.0,Orange County, NY
White,2017,53824,3756.0,Oswego County, NY
White,2017,101905,10616.0,Putnam County, NY
White,2017,68131,1860.0,Queens County, NY
White,2017,67298,3692.0,Rensselaer County, NY
White,2017,85286,4232.0,Richmond County, NY
White,2017,90600,5183.0,Rockland County, NY
White,2017,50262,3068.0,St. Lawrence County, NY
White,2017,83512,4415.0,Saratoga County, NY
White,2017,70890,6777.0,Schenectady County, NY
White,2017,50830,3088.0,Steuben County, NY
White,2017,97071,2532.0,Suffolk County, NY
White,2017,58326,8284.0,Sullivan County, NY
White,2017,60469,6877.999999999999,Tompkins County, NY
White,2017,64743,4145.0,Ulster County, NY
White,2017,60493,5627.0,Warren County, NY
White,2017,52189,3312.0,Wayne County, NY
White,2017,109615,4372.0,Westchester County, NY
Black,2017,32711,6022.0,Albany County, NY
Black,2017,37491,2514.0,Bronx County, NY
Black,2017,22410,11001.0,Broome County, NY
Black,2017,35488,22183.0,Cayuga County, NY
Black,2017,24753,13951.0,Chemung County, NY
Black,2017,61687,8648.0,Clinton County, NY
Black,2017,48339,10947.0,Dutchess County, NY
Black,2017,30285,2271.0,Erie County, NY
Black,2017,45338,7612.0,Jefferson County, NY
Black,2017,45355,2161.0,Kings County, NY
Black,2017,29636,3084.0,Monroe County, NY
Black,2017,82494,7484.0,Nassau County, NY
Black,2017,37747,4313.0,New York County, NY
Black,2017,26643,2708.0,Niagara County, NY
Black,2017,32192,14993.0,Oneida County, NY
Black,2017,30446,1823.0,Onondaga County, NY
Black,2017,70313,8775.0,Orange County, NY
Black,2017,72357,70496.0,Putnam County, NY
Black,2017,65295,4723.0,Queens County, NY
Black,2017,24355,4985.0,Rensselaer County, NY
Black,2017,41663,5408.0,Richmond County, NY
Black,2017,79973,16317.999999999998,Rockland County, NY
Black,2017,27937,8997.0,Schenectady County, NY
Black,2017,38537,15378.0,Steuben County, NY
Black,2017,69872,5077.0,Suffolk County, NY
Black,2017,42178,18902.0,Sullivan County, NY
Black,2017,71154,25469.0,Ulster County, NY
Black,2017,55844,5557.0,Westchester County, NY
Native American,2017,22791,18921.0,Albany County, NY
Native American,2017,29001,18836.0,Bronx County, NY
Native American,2017,25693,16372.000000000002,Cattaraugus County, NY
Native American,2017,30868,28383.0,Erie County, NY
Native American,2017,52815,45104.0,Kings County, NY
Native American,2017,39607,32924.0,Niagara County, NY
Native American,2017,13834,5930.0,Onondaga County, NY
Native American,2017,58688,55892.0,Oswego County, NY
Native American,2017,65444,16865.0,Queens County, NY
Native American,2017,70389,36918.0,Richmond County, NY
Native American,2017,111149,72618.0,Rockland County, NY
Native American,2017,56193,41990.0,St. Lawrence County, NY
Native American,2017,60565,50038.0,Sullivan County, NY
Native American,2017,45076,25024.0,Westchester County, NY
Asian,2017,77814,13534.0,Albany County, NY
Asian,2017,48016,10550.0,Bronx County, NY
Asian,2017,35279,27445.0,Broome County, NY
Asian,2017,2499,,Cattaraugus County, NY
Asian,2017,98682,869.9999999999999,Cayuga County, NY
Asian,2017,158427,85638.0,Chemung County, NY
Asian,2017,120627,13959.000000000002,Dutchess County, NY
Asian,2017,46757,7016.0,Erie County, NY
Asian,2017,59425,5061.0,Kings County, NY
Asian,2017,87733,2102.0,Livingston County, NY
Asian,2017,88900,77622.0,Madison County, NY
Asian,2017,66957,11269.0,Monroe County, NY
Asian,2017,130804,4896.0,Nassau County, NY
Asian,2017,76766,12219.0,New York County, NY
Asian,2017,25813,25592.0,Niagara County, NY
Asian,2017,28489,8654.0,Oneida County, NY
Asian,2017,40540,10402.0,Onondaga County, NY
Asian,2017,76826,55890.99999999999,Orange County, NY
Asian,2017,250001,,Oswego County, NY
Asian,2017,118447,57661.00000000001,Putnam County, NY
Asian,2017,61242,1288.0,Queens County, NY
Asian,2017,70392,38217.0,Rensselaer County, NY
Asian,2017,78811,8502.0,Richmond County, NY
Asian,2017,140163,32553.0,Rockland County, NY
Asian,2017,85208,33201.0,St. Lawrence County, NY
Asian,2017,101696,5181.0,Saratoga County, NY
Asian,2017,60602,37212.0,Schenectady County, NY
Asian,2017,100437,13929.999999999998,Suffolk County, NY
Asian,2017,125813,80087.0,Sullivan County, NY
Asian,2017,31088,9046.0,Tompkins County, NY
Asian,2017,80000,50407.0,Ulster County, NY
Asian,2017,250001,,Wayne County, NY
Asian,2017,140465,13457.0,Westchester County, NY
Pacific Islander,2017,44886,17008.0,Bronx County, NY
Other,2017,31160,1571.0,Bronx County, NY
Other,2017,18571,14500.0,Cayuga County, NY
Other,2017,2499,,Clinton County, NY
Other,2017,24525,17203.0,Dutchess County, NY
Other,2017,22766,4472.0,Erie County, NY
Other,2017,47866,18703.0,Jefferson County, NY
Other,2017,34005,2874.0,Kings County, NY
Other,2017,28108,8952.0,Monroe County, NY
Other,2017,74541,12364.0,Nassau County, NY
Other,2017,35669,3195.0,New York County, NY
Other,2017,21096,14819.0,Oneida County, NY
Other,2017,38915,18182.0,Ontario County, NY
Other,2017,68429,20660.0,Orange County, NY
Other,2017,4080,906.0,Oswego County, NY
Other,2017,57485,3236.0,Queens County, NY
Other,2017,56271,26242.0,Richmond County, NY
Other,2017,40260,15503.0,Rockland County, NY
Other,2017,16820,12657.0,Schenectady County, NY
Other,2017,79686,17742.0,Suffolk County, NY
Other,2017,62835,10653.0,Ulster County, NY
Other,2017,50899,5593.0,Westchester County, NY
Two Or More,2017,50836,17103.0,Albany County, NY
Two Or More,2017,48750,11047.0,Bronx County, NY
Two Or More,2017,29571,17104.0,Cattaraugus County, NY
Two Or More,2017,31799,15888.999999999998,Chemung County, NY
Two Or More,2017,70225,22089.0,Dutchess County, NY
Two Or More,2017,30298,10928.0,Erie County, NY
Two Or More,2017,25341,10331.0,Jefferson County, NY
Two Or More,2017,68864,5900.0,Kings County, NY
Two Or More,2017,91199,2227.0,Madison County, NY
Two Or More,2017,41048,9349.0,Monroe County, NY
Two Or More,2017,100838,23005.0,Nassau County, NY
Two Or More,2017,55209,8329.0,New York County, NY
Two Or More,2017,37922,3650.0,Niagara County, NY
Two Or More,2017,40673,11857.0,Onondaga County, NY
Two Or More,2017,60985,49059.0,Ontario County, NY
Two Or More,2017,66297,29092.0,Orange County, NY
Two Or More,2017,45750,33189.0,Oswego County, NY
Two Or More,2017,66645,6491.0,Queens County, NY
Two Or More,2017,46125,11792.0,Rensselaer County, NY
Two Or More,2017,77355,21132.0,Richmond County, NY
Two Or More,2017,78503,21904.0,Rockland County, NY
Two Or More,2017,35886,34626.0,St. Lawrence County, NY
Two Or More,2017,77014,46770.0,Saratoga County, NY
Two Or More,2017,43353,42308.0,Schenectady County, NY
Two Or More,2017,45448,10431.0,Steuben County, NY
Two Or More,2017,92246,14485.0,Suffolk County, NY
Two Or More,2017,95071,18873.0,Sullivan County, NY
Two Or More,2017,42477,25339.0,Tompkins County, NY
Two Or More,2017,55632,22381.0,Ulster County, NY
Two Or More,2017,75630,21832.0,Westchester County, NY
White Non-Hispanic,2017,75035,3488.0,Albany County, NY
White Non-Hispanic,2017,63929,3089.0,Bronx County, NY
White Non-Hispanic,2017,51283,3502.0,Broome County, NY
White Non-Hispanic,2017,50007,3013.0,Cattaraugus County, NY
White Non-Hispanic,2017,57324,3811.0,Cayuga County, NY
White Non-Hispanic,2017,47554,2731.0,Chautauqua County, NY
White Non-Hispanic,2017,52064,5641.0,Chemung County, NY
White Non-Hispanic,2017,58491,4559.0,Clinton County, NY
White Non-Hispanic,2017,82468,5285.0,Dutchess County, NY
White Non-Hispanic,2017,62519,1414.0,Erie County, NY
White Non-Hispanic,2017,49102,3034.0,Jefferson County, NY
White Non-Hispanic,2017,81162,1432.0,Kings County, NY
White Non-Hispanic,2017,56895,4199.0,Livingston County, NY
White Non-Hispanic,2017,55444,6444.0,Madison County, NY
White Non-Hispanic,2017,66748,2085.0,Monroe County, NY
White Non-Hispanic,2017,116614,4355.0,Nassau County, NY
White Non-Hispanic,2017,126173,5588.0,New York County, NY
White Non-Hispanic,2017,58771,3136.0,Niagara County, NY
White Non-Hispanic,2017,56790,2599.0,Oneida County, NY
White Non-Hispanic,2017,65359,2206.0,Onondaga County, NY
White Non-Hispanic,2017,68386,5861.0,Ontario County, NY
White Non-Hispanic,2017,82494,5846.0,Orange County, NY
White Non-Hispanic,2017,54487,3649.0,Oswego County, NY
White Non-Hispanic,2017,106452,10759.0,Putnam County, NY
White Non-Hispanic,2017,72423,2548.0,Queens County, NY
White Non-Hispanic,2017,67290,3595.0,Rensselaer County, NY
White Non-Hispanic,2017,89425,5462.0,Richmond County, NY
White Non-Hispanic,2017,94213,9156.0,Rockland County, NY
White Non-Hispanic,2017,50343,3077.0,St. Lawrence County, NY
White Non-Hispanic,2017,83397,4339.0,Saratoga County, NY
White Non-Hispanic,2017,71285,6701.0,Schenectady County, NY
White Non-Hispanic,2017,50670,3091.0,Steuben County, NY
White Non-Hispanic,2017,99259,2431.0,Suffolk County, NY
White Non-Hispanic,2017,60411,8884.0,Sullivan County, NY
White Non-Hispanic,2017,62664,7884.999999999999,Tompkins County, NY
White Non-Hispanic,2017,64140,4137.0,Ulster County, NY
White Non-Hispanic,2017,60399,6133.0,Warren County, NY
White Non-Hispanic,2017,52111,3196.0,Wayne County, NY
White Non-Hispanic,2017,116004,3421.0,Westchester County, NY
Hispanic,2017,41031,5213.0,Albany County, NY
Hispanic,2017,32911,1583.0,Bronx County, NY
Hispanic,2017,23346,19121.0,Broome County, NY
Hispanic,2017,27225,7919.0,Cattaraugus County, NY
Hispanic,2017,26276,6137.0,Cayuga County, NY
Hispanic,2017,19730,7874.0,Chautauqua County, NY
Hispanic,2017,55818,26563.0,Clinton County, NY
Hispanic,2017,74764,28234.0,Dutchess County, NY
Hispanic,2017,30337,6194.0,Erie County, NY
Hispanic,2017,40900,9043.0,Jefferson County, NY
Hispanic,2017,40165,2015.0,Kings County, NY
Hispanic,2017,158102,156197.0,Madison County, NY
Hispanic,2017,32018,3314.0,Monroe County, NY
Hispanic,2017,85764,5577.0,Nassau County, NY
Hispanic,2017,38841,2781.0,New York County, NY
Hispanic,2017,32298,13704.0,Niagara County, NY
Hispanic,2017,37690,11596.0,Oneida County, NY
Hispanic,2017,30965,4696.0,Onondaga County, NY
Hispanic,2017,43153,12494.0,Ontario County, NY
Hispanic,2017,76341,7621.0,Orange County, NY
Hispanic,2017,80621,27199.0,Putnam County, NY
Hispanic,2017,58413,2403.0,Queens County, NY
Hispanic,2017,50496,9663.0,Rensselaer County, NY
Hispanic,2017,65876,6763.000000000001,Richmond County, NY
Hispanic,2017,60036,9713.0,Rockland County, NY
Hispanic,2017,64906,28633.0,Saratoga County, NY
Hispanic,2017,41430,12717.0,Schenectady County, NY
Hispanic,2017,132879,114794.0,Steuben County, NY
Hispanic,2017,82633,11057.0,Suffolk County, NY
Hispanic,2017,39712,22955.0,Sullivan County, NY
Hispanic,2017,71423,11021.0,Ulster County, NY
Hispanic,2017,47301,45792.0,Warren County, NY
Hispanic,2017,58264,6650.0,Westchester County, NY
Total,2016,61754,2996.0,Albany County, NY
Total,2016,37525,1266.0,Bronx County, NY
Total,2016,50463,2339.0,Broome County, NY
Total,2016,46842,3719.0,Cattaraugus County, NY
Total,2016,54995,4267.0,Cayuga County, NY
Total,2016,42204,2801.0,Chautauqua County, NY
Total,2016,51269,2894.0,Chemung County, NY
Total,2016,55316,4840.0,Clinton County, NY
Total,2016,74115,3443.9999999999995,Dutchess County, NY
Total,2016,54246,1403.0,Erie County, NY
Total,2016,45624,3116.0,Jefferson County, NY
Total,2016,55150,1015.0,Kings County, NY
Total,2016,53121,4382.0,Livingston County, NY
Total,2016,60630,5537.0,Madison County, NY
Total,2016,54492,1629.0,Monroe County, NY
Total,2016,105870,1944.0,Nassau County, NY
Total,2016,77559,2469.0,New York County, NY
Total,2016,50233,2552.0,Niagara County, NY
Total,2016,52996,2024.0,Oneida County, NY
Total,2016,56991,1826.0,Onondaga County, NY
Total,2016,57448,4119.0,Ontario County, NY
Total,2016,73025,4182.0,Orange County, NY
Total,2016,53562,3096.0,Oswego County, NY
Total,2016,96992,7918.0,Putnam County, NY
Total,2016,62207,1151.0,Queens County, NY
Total,2016,65965,5829.0,Rensselaer County, NY
Total,2016,77197,4465.0,Richmond County, NY
Total,2016,85515,5870.0,Rockland County, NY
Total,2016,51592,1922.0,St. Lawrence County, NY
Total,2016,76097,3341.0,Saratoga County, NY
Total,2016,58331,4940.0,Schenectady County, NY
Total,2016,50575,2803.0,Steuben County, NY
Total,2016,92933,2401.0,Suffolk County, NY
Total,2016,50652,12310.0,Sullivan County, NY
Total,2016,56349,3335.0,Tompkins County, NY
Total,2016,62790,3777.0,Ulster County, NY
Total,2016,58061,6735.0,Warren County, NY
Total,2016,59538,4525.0,Wayne County, NY
Total,2016,89709,3205.0,Westchester County, NY
White,2016,69058,3486.0000000000005,Albany County, NY
White,2016,43019,4154.0,Bronx County, NY
White,2016,53301,2906.0,Broome County, NY
White,2016,48077,3416.0,Cattaraugus County, NY
White,2016,56373,4013.0,Cayuga County, NY
White,2016,43789,3395.0000000000005,Chautauqua County, NY
White,2016,51612,3212.0,Chemung County, NY
White,2016,55669,4442.0,Clinton County, NY
White,2016,76711,3603.0,Dutchess County, NY
White,2016,61154,1578.0,Erie County, NY
White,2016,45325,3282.0,Jefferson County, NY
White,2016,68912,2755.0,Kings County, NY
White,2016,54136,4860.0,Livingston County, NY
White,2016,60725,6548.0,Madison County, NY
White,2016,60988,1794.0,Monroe County, NY
White,2016,110903,1972.0,Nassau County, NY
White,2016,102421,3954.0,New York County, NY
White,2016,53320,3978.0,Niagara County, NY
White,2016,55096,2511.0,Oneida County, NY
White,2016,62811,2117.0,Onondaga County, NY
White,2016,59318,4362.0,Ontario County, NY
White,2016,81401,4920.0,Orange County, NY
White,2016,54023,3229.0,Oswego County, NY
White,2016,100052,8962.0,Putnam County, NY
White,2016,67709,2216.0,Queens County, NY
White,2016,69639,3441.0,Rensselaer County, NY
White,2016,81290,3343.0,Richmond County, NY
White,2016,89252,7490.999999999999,Rockland County, NY
White,2016,51826,1919.0,St. Lawrence County, NY
White,2016,75375,3702.0,Saratoga County, NY
White,2016,66117,3377.9999999999995,Schenectady County, NY
White,2016,50106,3888.0,Steuben County, NY
White,2016,94790,2733.0,Suffolk County, NY
White,2016,57978,6108.0,Sullivan County, NY
White,2016,61951,5134.0,Tompkins County, NY
White,2016,65279,3411.0,Ulster County, NY
White,2016,60139,6585.0,Warren County, NY
White,2016,59354,4772.0,Wayne County, NY
White,2016,103947,3416.0,Westchester County, NY
Black,2016,27035,7243.0,Albany County, NY
Black,2016,41675,2137.0,Bronx County, NY
Black,2016,21013,10637.0,Broome County, NY
Black,2016,6395,547.0,Cattaraugus County, NY
Black,2016,17086,7168.0,Chautauqua County, NY
Black,2016,23570,13213.0,Chemung County, NY
Black,2016,46031,16935.0,Dutchess County, NY
Black,2016,28249,2816.0,Erie County, NY
Black,2016,66866,8970.0,Jefferson County, NY
Black,2016,46132,1695.0,Kings County, NY
Black,2016,8835,5915.0,Livingston County, NY
Black,2016,30203,2521.0,Monroe County, NY
Black,2016,93547,7303.999999999999,Nassau County, NY
Black,2016,31489,2155.0,New York County, NY
Black,2016,21885,8474.0,Niagara County, NY
Black,2016,24930,9672.0,Oneida County, NY
Black,2016,26899,4395.0,Onondaga County, NY
Black,2016,20951,3093.0,Ontario County, NY
Black,2016,55009,20566.0,Orange County, NY
Black,2016,65284,2471.0,Queens County, NY
Black,2016,42480,21447.0,Rensselaer County, NY
Black,2016,49445,10551.0,Richmond County, NY
Black,2016,70363,11917.0,Rockland County, NY
Black,2016,73681,593.0,Saratoga County, NY
Black,2016,31685,11161.0,Schenectady County, NY
Black,2016,73750,71481.0,Steuben County, NY
Black,2016,73357,7639.0,Suffolk County, NY
Black,2016,21575,5421.0,Sullivan County, NY
Black,2016,25555,7039.0,Ulster County, NY
Black,2016,67482,44324.0,Wayne County, NY
Black,2016,57196,5407.0,Westchester County, NY
Native American,2016,46653,46105.0,Albany County, NY
Native American,2016,27264,14674.0,Bronx County, NY
Native American,2016,28393,11413.0,Cattaraugus County, NY
Native American,2016,26755,13926.0,Cayuga County, NY
Native American,2016,35666,18171.0,Erie County, NY
Native American,2016,41902,32177.0,Jefferson County, NY
Native American,2016,52150,14631.0,Kings County, NY
Native American,2016,80867,35050.0,Nassau County, NY
Native American,2016,50996,33124.0,Niagara County, NY
Native American,2016,39955,12779.0,Onondaga County, NY
Native American,2016,47692,30742.0,Orange County, NY
Native American,2016,18188,13590.000000000002,Oswego County, NY
Native American,2016,49091,13933.0,Queens County, NY
Native American,2016,30699,18764.0,Rensselaer County, NY
Native American,2016,250001,,Rockland County, NY
Asian,2016,66309,17972.0,Albany County, NY
Asian,2016,50285,4059.0,Bronx County, NY
Asian,2016,26165,9496.0,Broome County, NY
Asian,2016,19228,9941.0,Chautauqua County, NY
Asian,2016,110325,36182.0,Chemung County, NY
Asian,2016,116198,18547.0,Dutchess County, NY
Asian,2016,46849,16858.0,Erie County, NY
Asian,2016,60832,4004.0,Kings County, NY
Asian,2016,56184,21099.0,Monroe County, NY
Asian,2016,131321,8392.0,Nassau County, NY
Asian,2016,75588,7266.999999999999,New York County, NY
Asian,2016,42702,21121.0,Oneida County, NY
Asian,2016,50311,11230.0,Onondaga County, NY
Asian,2016,235254,206589.0,Ontario County, NY
Asian,2016,65669,36313.0,Orange County, NY
Asian,2016,210915,208938.0,Oswego County, NY
Asian,2016,55600,3210.0,Queens County, NY
Asian,2016,45195,23645.0,Rensselaer County, NY
Asian,2016,99854,5764.0,Richmond County, NY
Asian,2016,132492,31851.0,Rockland County, NY
Asian,2016,111031,38061.0,Saratoga County, NY
Asian,2016,39792,36656.0,Schenectady County, NY
Asian,2016,122575,111230.0,Steuben County, NY
Asian,2016,123621,13433.0,Suffolk County, NY
Asian,2016,30419,9954.0,Tompkins County, NY
Asian,2016,112428,14595.0,Westchester County, NY
Pacific Islander,2016,67194,37038.0,Kings County, NY
Pacific Islander,2016,2499,,New York County, NY
Other,2016,50223,38119.0,Albany County, NY
Other,2016,31508,1437.0,Bronx County, NY
Other,2016,11894,3793.0,Broome County, NY
Other,2016,43271,33681.0,Dutchess County, NY
Other,2016,18929,5114.0,Erie County, NY
Other,2016,40634,22316.0,Jefferson County, NY
Other,2016,36177,2451.0,Kings County, NY
Other,2016,70723,68161.0,Livingston County, NY
Other,2016,31163,9361.0,Monroe County, NY
Other,2016,66506,8512.0,Nassau County, NY
Other,2016,32284,3608.0,New York County, NY
Other,2016,23125,7856.0,Onondaga County, NY
Other,2016,23620,12644.0,Ontario County, NY
Other,2016,52526,15402.0,Orange County, NY
Other,2016,52826,32329.0,Putnam County, NY
Other,2016,47696,3627.0000000000014,Queens County, NY
Other,2016,52039,22913.0,Richmond County, NY
Other,2016,56430,20102.0,Rockland County, NY
Other,2016,100921,80019.0,St. Lawrence County, NY
Other,2016,76204,35024.0,Saratoga County, NY
Other,2016,30877,19153.0,Schenectady County, NY
Other,2016,66912,8649.0,Suffolk County, NY
Other,2016,22107,17615.0,Sullivan County, NY
Other,2016,26887,5692.0,Ulster County, NY
Other,2016,44459,6470.0,Westchester County, NY
Two Or More,2016,29081,28091.0,Albany County, NY
Two Or More,2016,34451,6062.0,Bronx County, NY
Two Or More,2016,40220,21521.0,Broome County, NY
Two Or More,2016,35563,12848.0,Cattaraugus County, NY
Two Or More,2016,31379,15131.999999999998,Cayuga County, NY
Two Or More,2016,47775,12225.0,Dutchess County, NY
Two Or More,2016,30291,9842.0,Erie County, NY
Two Or More,2016,42014,11301.0,Jefferson County, NY
Two Or More,2016,50651,7173.0,Kings County, NY
Two Or More,2016,14012,12764.0,Livingston County, NY
Two Or More,2016,35142,20392.0,Madison County, NY
Two Or More,2016,75750,18143.0,Nassau County, NY
Two Or More,2016,60353,11894.0,New York County, NY
Two Or More,2016,36602,11766.0,Niagara County, NY
Two Or More,2016,36523,23591.0,Oneida County, NY
Two Or More,2016,39964,22403.0,Onondaga County, NY
Two Or More,2016,52218,33291.0,Orange County, NY
Two Or More,2016,25625,21299.0,Oswego County, NY
Two Or More,2016,135805,26826.0,Putnam County, NY
Two Or More,2016,71924,12623.0,Queens County, NY
Two Or More,2016,26831,21054.0,Rensselaer County, NY
Two Or More,2016,68974,26833.0,Richmond County, NY
Two Or More,2016,91907,37452.0,Rockland County, NY
Two Or More,2016,55284,34652.0,St. Lawrence County, NY
Two Or More,2016,122592,100661.0,Saratoga County, NY
Two Or More,2016,26674,19788.0,Schenectady County, NY
Two Or More,2016,101613,14491.0,Suffolk County, NY
Two Or More,2016,100071,97868.0,Sullivan County, NY
Two Or More,2016,41116,36470.0,Ulster County, NY
Two Or More,2016,47890,25322.0,Warren County, NY
Two Or More,2016,101086,29736.0,Wayne County, NY
Two Or More,2016,86321,26737.0,Westchester County, NY
White Non-Hispanic,2016,69531,3334.0,Albany County, NY
White Non-Hispanic,2016,57362,5193.0,Bronx County, NY
White Non-Hispanic,2016,53666,3103.0,Broome County, NY
White Non-Hispanic,2016,48342,3235.0,Cattaraugus County, NY
White Non-Hispanic,2016,56602,4075.0,Cayuga County, NY
White Non-Hispanic,2016,44913,2938.0,Chautauqua County, NY
White Non-Hispanic,2016,51580,3076.0,Chemung County, NY
White Non-Hispanic,2016,55505,4657.0,Clinton County, NY
White Non-Hispanic,2016,76777,3554.0,Dutchess County, NY
White Non-Hispanic,2016,61847,1569.0,Erie County, NY
White Non-Hispanic,2016,45772,3235.0,Jefferson County, NY
White Non-Hispanic,2016,75144,2461.0,Kings County, NY
White Non-Hispanic,2016,53871,4681.0,Livingston County, NY
White Non-Hispanic,2016,62182,6391.0,Madison County, NY
White Non-Hispanic,2016,62464,2176.0,Monroe County, NY
White Non-Hispanic,2016,111961,1964.0,Nassau County, NY
White Non-Hispanic,2016,116359,4128.0,New York County, NY
White Non-Hispanic,2016,53238,4015.0,Niagara County, NY
White Non-Hispanic,2016,56316,2792.0,Oneida County, NY
White Non-Hispanic,2016,63414,2206.0,Onondaga County, NY
White Non-Hispanic,2016,58759,4454.0,Ontario County, NY
White Non-Hispanic,2016,81106,4815.0,Orange County, NY
White Non-Hispanic,2016,53709,3334.0,Oswego County, NY
White Non-Hispanic,2016,99676,9266.0,Putnam County, NY
White Non-Hispanic,2016,71770,1703.0,Queens County, NY
White Non-Hispanic,2016,69982,3318.0,Rensselaer County, NY
White Non-Hispanic,2016,85662,4113.0,Richmond County, NY
White Non-Hispanic,2016,91421,7168.0,Rockland County, NY
White Non-Hispanic,2016,51919,1932.0,St. Lawrence County, NY
White Non-Hispanic,2016,75004,3738.0,Saratoga County, NY
White Non-Hispanic,2016,66792,3189.0,Schenectady County, NY
White Non-Hispanic,2016,50131,3774.0000000000014,Steuben County, NY
White Non-Hispanic,2016,98065,2569.0,Suffolk County, NY
White Non-Hispanic,2016,59292,6523.0,Sullivan County, NY
White Non-Hispanic,2016,61109,4819.0,Tompkins County, NY
White Non-Hispanic,2016,65676,3333.0,Ulster County, NY
White Non-Hispanic,2016,60227,6536.0,Warren County, NY
White Non-Hispanic,2016,59753,4631.0,Wayne County, NY
White Non-Hispanic,2016,111119,4157.0,Westchester County, NY
Hispanic,2016,36137,6215.0,Albany County, NY
Hispanic,2016,31978,977.0,Bronx County, NY
Hispanic,2016,17190,9679.0,Broome County, NY
Hispanic,2016,34773,5266.0,Cattaraugus County, NY
Hispanic,2016,19188,13205.0,Chautauqua County, NY
Hispanic,2016,71033,39654.0,Chemung County, NY
Hispanic,2016,65757,13181.0,Dutchess County, NY
Hispanic,2016,24348,7201.999999999999,Erie County, NY
Hispanic,2016,40862,13288.0,Jefferson County, NY
Hispanic,2016,38747,2200.0,Kings County, NY
Hispanic,2016,75666,12366.0,Livingston County, NY
Hispanic,2016,50425,22998.0,Madison County, NY
Hispanic,2016,26731,3043.0,Monroe County, NY
Hispanic,2016,80390,5890.0,Nassau County, NY
Hispanic,2016,35994,3514.0,New York County, NY
Hispanic,2016,69837,51777.0,Niagara County, NY
