ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
1,"White",2019,"2019",76175,7104,"Schenectady County, NY","05000US36093","schenectady-county-ny"
1,"White",2019,"2019",52363,2441,"Steuben County, NY","05000US36101","steuben-county-ny"
1,"White",2019,"2019",108064,3140,"Suffolk County, NY","05000US36103","suffolk-county-ny"
1,"White",2019,"2019",61271,8682,"Sullivan County, NY","05000US36105","sullivan-county-ny"
1,"White",2019,"2019",61425,5142,"Tompkins County, NY","05000US36109","tompkins-county-ny"
1,"White",2019,"2019",64888,4459,"Ulster County, NY","05000US36111","ulster-county-ny"
1,"White",2019,"2019",64311,6357,"Warren County, NY","05000US36113","warren-county-ny"
1,"White",2019,"2019",64400,5996,"Wayne County, NY","05000US36117","wayne-county-ny"
1,"White",2019,"2019",120942,3954.9999999999995,"Westchester County, NY","05000US36119","westchester-county-ny"
2,"Black",2019,"2019",36667,8984,"Albany County, NY","05000US36001","albany-county-ny"
2,"Black",2019,"2019",41343,2371,"Bronx County, NY","05000US36005","bronx-county-ny"
2,"Black",2019,"2019",31426,15410.000000000002,"Broome County, NY","05000US36007","broome-county-ny"
2,"Black",2019,"2019",41228,16399,"Cayuga County, NY","05000US36011","cayuga-county-ny"
2,"Black",2019,"2019",25952,7115,"Chautauqua County, NY","05000US36013","chautauqua-county-ny"
2,"Black",2019,"2019",61222,14586,"Dutchess County, NY","05000US36027","dutchess-county-ny"
2,"Black",2019,"2019",34715,2607,"Erie County, NY","05000US36029","erie-county-ny"
2,"Black",2019,"2019",57987,22011,"Jefferson County, NY","05000US36045","jefferson-county-ny"
2,"Black",2019,"2019",51899,1729,"Kings County, NY","05000US36047","kings-county-ny"
2,"Black",2019,"2019",25179,10845,"Livingston County, NY","05000US36051","livingston-county-ny"
2,"Black",2019,"2019",35427,3623,"Monroe County, NY","05000US36055","monroe-county-ny"
