STATE,POPULATION,DATE
District of Columbia,693972,2017-07-01
Florida,20984400,2017-07-01
Georgia,10429379,2017-07-01
Hawaii,1427538,2017-07-01
Idaho,1716943,2017-07-01
Illinois,12802023,2017-07-01
Indiana,6666818,2017-07-01
Iowa,3145711,2017-07-01
Kansas,2913123,2017-07-01
Kentucky,4454189,2017-07-01
Louisiana,4684333,2017-07-01
Maine,1335907,2017-07-01
Maryland,6052177,2017-07-01
Massachusetts,6859819,2017-07-01
Alabama,4874747,2017-07-01
Alaska,739795,2017-07-01
Arizona,7016270,2017-07-01
Arkansas,3004279,2017-07-01
California,39536653,2017-07-01
Colorado,5607154,2017-07-01
Connecticut,3588184,2017-07-01
Delaware,961939,2017-07-01
Michigan,9962311,2017-07-01
Minnesota,5576606,2017-07-01
Mississippi,2984100,2017-07-01
Missouri,6113532,2017-07-01
Montana,1050493,2017-07-01
Nebraska,1920076,2017-07-01
Nevada,2998039,2017-07-01
New Hampshire,1342795,2017-07-01
New Jersey,9005644,2017-07-01
New Mexico,2088070,2017-07-01
New York,19849399,2017-07-01
North Carolina,10273419,2017-07-01
North Dakota,755393,2017-07-01
Ohio,11658609,2017-07-01
Oklahoma,3930864,2017-07-01
Oregon,4142776,2017-07-01
Pennsylvania,12805537,2017-07-01
Rhode Island,1059639,2017-07-01
South Carolina,5024369,2017-07-01
South Dakota,869666,2017-07-01
Tennessee,6715984,2017-07-01
Texas,28304596,2017-07-01
Utah,3101833,2017-07-01
Vermont,623657,2017-07-01
Virginia,8470020,2017-07-01
Washington,7405743,2017-07-01
West Virginia,1815857,2017-07-01
Wisconsin,5795483,2017-07-01
Wyoming,579315,2017-07-01
Puerto Rico,3337177,2017-07-01
