STATE,POPULATION,DATE
Mississippi,2976149,2019-07-01
Missouri,6137428,2019-07-01
Montana,1068778,2019-07-01
Nebraska,1934408,2019-07-01
Nevada,3080156,2019-07-01
New Hampshire,1359711,2019-07-01
New Jersey,8882190,2019-07-01
New Mexico,2096829,2019-07-01
New York,19453561,2019-07-01
North Carolina,10488084,2019-07-01
North Dakota,762062,2019-07-01
Ohio,11689100,2019-07-01
Oklahoma,3956971,2019-07-01
Oregon,4217737,2019-07-01
Pennsylvania,12801989,2019-07-01
Rhode Island,1059361,2019-07-01
South Carolina,5148714,2019-07-01
South Dakota,884659,2019-07-01
Tennessee,6829174,2019-07-01
Texas,28995881,2019-07-01
Vermont,623989,2019-07-01
Utah,3205958,2019-07-01
Virginia,8535519,2019-07-01
Washington,7614893,2019-07-01
West Virginia,1792147,2019-07-01
Wisconsin,5822434,2019-07-01
Wyoming,578759,2019-07-01
Puerto Rico,3193694,2019-07-01
Alabama,4903185,2019-07-01
Alaska,731545,2019-07-01
Arizona,7278717,2019-07-01
Arkansas,3017804,2019-07-01
California,39512223,2019-07-01
Colorado,5758736,2019-07-01
Delaware,973764,2019-07-01
District of Columbia,705749,2019-07-01
Connecticut,3565287,2019-07-01
Florida,21477737,2019-07-01
Georgia,10617423,2019-07-01
Idaho,1787065,2019-07-01
Hawaii,1415872,2019-07-01
Illinois,12671821,2019-07-01
Indiana,6732219,2019-07-01
Iowa,3155070,2019-07-01
Kansas,2913314,2019-07-01
Kentucky,4467673,2019-07-01
Louisiana,4648794,2019-07-01
Maine,1344212,2019-07-01
Maryland,6045680,2019-07-01
Massachusetts,6892503,2019-07-01
Michigan,9986857,2019-07-01
Minnesota,5639632,2019-07-01
