COUNTY_ID,COUNTY_NAME,STATE,POPULATION,DATE
035,Conecuh County, Alabama,12469,2017-07-01
037,Coosa County, Alabama,10754,2017-07-01
039,Covington County, Alabama,37092,2017-07-01
041,Crenshaw County, Alabama,13871,2017-07-01
043,Cullman County, Alabama,82755,2017-07-01
045,Dale County, Alabama,49226,2017-07-01
047,Dallas County, Alabama,39215,2017-07-01
001,Autauga County, Alabama,55504,2017-07-01
003,Baldwin County, Alabama,212628,2017-07-01
005,Barbour County, Alabama,25270,2017-07-01
007,Bibb County, Alabama,22668,2017-07-01
009,Blount County, Alabama,58013,2017-07-01
011,Bullock County, Alabama,10309,2017-07-01
013,Butler County, Alabama,19825,2017-07-01
015,Calhoun County, Alabama,114728,2017-07-01
017,Chambers County, Alabama,33713,2017-07-01
019,Cherokee County, Alabama,25857,2017-07-01
021,Chilton County, Alabama,44067,2017-07-01
023,Choctaw County, Alabama,12945,2017-07-01
025,Clarke County, Alabama,24083,2017-07-01
027,Clay County, Alabama,13367,2017-07-01
029,Cleburne County, Alabama,14900,2017-07-01
031,Coffee County, Alabama,51874,2017-07-01
033,Colbert County, Alabama,54500,2017-07-01
123,Tallapoosa County, Alabama,40681,2017-07-01
125,Tuscaloosa County, Alabama,207811,2017-07-01
127,Walker County, Alabama,64058,2017-07-01
129,Washington County, Alabama,16531,2017-07-01
131,Wilcox County, Alabama,10719,2017-07-01
133,Winston County, Alabama,23722,2017-07-01
049,DeKalb County, Alabama,71617,2017-07-01
051,Elmore County, Alabama,81677,2017-07-01
053,Escambia County, Alabama,37447,2017-07-01
055,Etowah County, Alabama,102755,2017-07-01
057,Fayette County, Alabama,16468,2017-07-01
059,Franklin County, Alabama,31495,2017-07-01
061,Geneva County, Alabama,26421,2017-07-01
063,Greene County, Alabama,8330,2017-07-01
065,Hale County, Alabama,14812,2017-07-01
067,Henry County, Alabama,17147,2017-07-01
069,Houston County, Alabama,104346,2017-07-01
071,Jackson County, Alabama,51909,2017-07-01
073,Jefferson County, Alabama,659197,2017-07-01
075,Lamar County, Alabama,13946,2017-07-01
077,Lauderdale County, Alabama,92538,2017-07-01
079,Lawrence County, Alabama,33049,2017-07-01
081,Lee County, Alabama,161604,2017-07-01
083,Limestone County, Alabama,94402,2017-07-01
085,Lowndes County, Alabama,10076,2017-07-01
087,Macon County, Alabama,18755,2017-07-01
089,Madison County, Alabama,361046,2017-07-01
091,Marengo County, Alabama,19375,2017-07-01
093,Marion County, Alabama,29833,2017-07-01
095,Marshall County, Alabama,95548,2017-07-01
097,Mobile County, Alabama,413955,2017-07-01
099,Monroe County, Alabama,21327,2017-07-01
101,Montgomery County, Alabama,226646,2017-07-01
103,Morgan County, Alabama,118818,2017-07-01
105,Perry County, Alabama,9339,2017-07-01
107,Pickens County, Alabama,20176,2017-07-01
109,Pike County, Alabama,33267,2017-07-01
111,Randolph County, Alabama,22670,2017-07-01
113,Russell County, Alabama,57045,2017-07-01
115,St. Clair County, Alabama,88199,2017-07-01
117,Shelby County, Alabama,213605,2017-07-01
119,Sumter County, Alabama,12687,2017-07-01
121,Talladega County, Alabama,80065,2017-07-01
025,Yavapai County, Arizona,228168,2017-07-01
027,Yuma County, Arizona,207534,2017-07-01
001,Arkansas County, Arkansas,17967,2017-07-01
003,Ashley County, Arkansas,20283,2017-07-01
005,Baxter County, Arkansas,41355,2017-07-01
007,Benton County, Arkansas,266300,2017-07-01
013,Aleutians East Borough, Alaska,3370,2017-07-01
016,Aleutians West Census Area, Alaska,5763,2017-07-01
020,Anchorage Municipality, Alaska,294356,2017-07-01
050,Bethel Census Area, Alaska,18076,2017-07-01
060,Bristol Bay Borough, Alaska,867,2017-07-01
068,Denali Borough, Alaska,2074,2017-07-01
070,Dillingham Census Area, Alaska,4932,2017-07-01
090,Fairbanks North Star Borough, Alaska,99703,2017-07-01
100,Haines Borough, Alaska,2526,2017-07-01
105,Hoonah-Angoon Census Area, Alaska,2145,2017-07-01
110,Juneau City and Borough, Alaska,32094,2017-07-01
122,Kenai Peninsula Borough, Alaska,58617,2017-07-01
130,Ketchikan Gateway Borough, Alaska,13856,2017-07-01
150,Kodiak Island Borough, Alaska,13448,2017-07-01
158,Kusilvak Census Area, Alaska,8202,2017-07-01
164,Lake and Peninsula Borough, Alaska,1620,2017-07-01
170,Matanuska-Susitna Borough, Alaska,106532,2017-07-01
180,Nome Census Area, Alaska,9921,2017-07-01
185,North Slope Borough, Alaska,9782,2017-07-01
188,Northwest Arctic Borough, Alaska,7684,2017-07-01
195,Petersburg Borough, Alaska,3281,2017-07-01
198,Prince of Wales-Hyder Census Area, Alaska,6443,2017-07-01
220,Sitka City and Borough, Alaska,8689,2017-07-01
230,Skagway Municipality, Alaska,1157,2017-07-01
240,Southeast Fairbanks Census Area, Alaska,6888,2017-07-01
261,Valdez-Cordova Census Area, Alaska,9278,2017-07-01
275,Wrangell City and Borough, Alaska,2521,2017-07-01
282,Yakutat City and Borough, Alaska,605,2017-07-01
290,Yukon-Koyukuk Census Area, Alaska,5365,2017-07-01
001,Apache County, Arizona,71606,2017-07-01
003,Cochise County, Arizona,124756,2017-07-01
005,Coconino County, Arizona,140776,2017-07-01
007,Gila County, Arizona,53501,2017-07-01
009,Graham County, Arizona,37466,2017-07-01
011,Greenlee County, Arizona,9455,2017-07-01
012,La Paz County, Arizona,20601,2017-07-01
013,Maricopa County, Arizona,4307033,2017-07-01
015,Mohave County, Arizona,207200,2017-07-01
017,Navajo County, Arizona,108956,2017-07-01
019,Pima County, Arizona,1022769,2017-07-01
021,Pinal County, Arizona,430237,2017-07-01
023,Santa Cruz County, Arizona,46212,2017-07-01
083,Logan County, Arkansas,21722,2017-07-01
085,Lonoke County, Arkansas,72898,2017-07-01
087,Madison County, Arkansas,16339,2017-07-01
089,Marion County, Arkansas,16428,2017-07-01
091,Miller County, Arkansas,43984,2017-07-01
093,Mississippi County, Arkansas,42159,2017-07-01
009,Boone County, Arkansas,37381,2017-07-01
011,Bradley County, Arkansas,10864,2017-07-01
013,Calhoun County, Arkansas,5247,2017-07-01
015,Carroll County, Arkansas,27944,2017-07-01
017,Chicot County, Arkansas,10636,2017-07-01
019,Clark County, Arkansas,22293,2017-07-01
021,Clay County, Arkansas,14920,2017-07-01
023,Cleburne County, Arkansas,25048,2017-07-01
025,Cleveland County, Arkansas,8202,2017-07-01
