COUNTY_ID,COUNTY_NAME,STATE,POPULATION,DATE
012,La Paz County, Arizona,20317,2016-07-01
013,Maricopa County, Arizona,4242997,2016-07-01
125,Saline County, Arkansas,118703,2016-07-01
127,Scott County, Arkansas,10277,2016-07-01
129,Searcy County, Arkansas,7967,2016-07-01
131,Sebastian County, Arkansas,127793,2016-07-01
133,Sevier County, Arkansas,16910,2016-07-01
135,Sharp County, Arkansas,17157,2016-07-01
137,Stone County, Arkansas,12539,2016-07-01
041,Desha County, Arkansas,11876,2016-07-01
043,Drew County, Arkansas,18651,2016-07-01
045,Faulkner County, Arkansas,122227,2016-07-01
047,Franklin County, Arkansas,17626,2016-07-01
049,Fulton County, Arkansas,12123,2016-07-01
051,Garland County, Arkansas,97477,2016-07-01
053,Grant County, Arkansas,18082,2016-07-01
055,Greene County, Arkansas,44598,2016-07-01
057,Hempstead County, Arkansas,21974,2016-07-01
059,Hot Spring County, Arkansas,33374,2016-07-01
061,Howard County, Arkansas,13377,2016-07-01
063,Independence County, Arkansas,37168,2016-07-01
065,Izard County, Arkansas,13433,2016-07-01
067,Jackson County, Arkansas,17221,2016-07-01
069,Jefferson County, Arkansas,70016,2016-07-01
071,Johnson County, Arkansas,26176,2016-07-01
073,Lafayette County, Arkansas,6847,2016-07-01
075,Lawrence County, Arkansas,16735,2016-07-01
077,Lee County, Arkansas,9310,2016-07-01
079,Lincoln County, Arkansas,13705,2016-07-01
081,Little River County, Arkansas,12451,2016-07-01
083,Logan County, Arkansas,21792,2016-07-01
085,Lonoke County, Arkansas,72228,2016-07-01
087,Madison County, Arkansas,16072,2016-07-01
089,Marion County, Arkansas,16325,2016-07-01
091,Miller County, Arkansas,43787,2016-07-01
093,Mississippi County, Arkansas,42835,2016-07-01
095,Monroe County, Arkansas,7169,2016-07-01
097,Montgomery County, Arkansas,8879,2016-07-01
099,Nevada County, Arkansas,8398,2016-07-01
101,Newton County, Arkansas,7936,2016-07-01
103,Ouachita County, Arkansas,24098,2016-07-01
105,Perry County, Arkansas,10132,2016-07-01
107,Phillips County, Arkansas,18975,2016-07-01
109,Pike County, Arkansas,10832,2016-07-01
111,Poinsett County, Arkansas,24023,2016-07-01
113,Polk County, Arkansas,20173,2016-07-01
115,Pope County, Arkansas,63779,2016-07-01
117,Prairie County, Arkansas,8251,2016-07-01
119,Pulaski County, Arkansas,393250,2016-07-01
121,Randolph County, Arkansas,17448,2016-07-01
123,St. Francis County, Arkansas,26196,2016-07-01
043,Mariposa County, California,17410,2016-07-01
045,Mendocino County, California,87628,2016-07-01
047,Merced County, California,268672,2016-07-01
049,Modoc County, California,8795,2016-07-01
051,Mono County, California,13981,2016-07-01
053,Monterey County, California,435232,2016-07-01
055,Napa County, California,142166,2016-07-01
057,Nevada County, California,99107,2016-07-01
059,Orange County, California,3172532,2016-07-01
061,Placer County, California,380531,2016-07-01
063,Plumas County, California,18627,2016-07-01
065,Riverside County, California,2387741,2016-07-01
067,Sacramento County, California,1514460,2016-07-01
069,San Benito County, California,59414,2016-07-01
071,San Bernardino County, California,2140096,2016-07-01
073,San Diego County, California,3317749,2016-07-01
075,San Francisco County, California,870887,2016-07-01
077,San Joaquin County, California,733709,2016-07-01
079,San Luis Obispo County, California,282887,2016-07-01
081,San Mateo County, California,764797,2016-07-01
083,Santa Barbara County, California,446170,2016-07-01
085,Santa Clara County, California,1919402,2016-07-01
087,Santa Cruz County, California,274673,2016-07-01
089,Shasta County, California,179631,2016-07-01
091,Sierra County, California,2947,2016-07-01
093,Siskiyou County, California,43603,2016-07-01
139,Union County, Arkansas,39887,2016-07-01
141,Van Buren County, Arkansas,16628,2016-07-01
143,Washington County, Arkansas,228049,2016-07-01
145,White County, Arkansas,79263,2016-07-01
147,Woodruff County, Arkansas,6641,2016-07-01
149,Yell County, Arkansas,21552,2016-07-01
001,Alameda County, California,1647704,2016-07-01
003,Alpine County, California,1071,2016-07-01
005,Amador County, California,37383,2016-07-01
007,Butte County, California,226864,2016-07-01
009,Calaveras County, California,45171,2016-07-01
011,Colusa County, California,21588,2016-07-01
013,Contra Costa County, California,1135127,2016-07-01
015,Del Norte County, California,27540,2016-07-01
017,El Dorado County, California,185625,2016-07-01
019,Fresno County, California,979915,2016-07-01
021,Glenn County, California,28085,2016-07-01
023,Humboldt County, California,136646,2016-07-01
025,Imperial County, California,180883,2016-07-01
027,Inyo County, California,18144,2016-07-01
029,Kern County, California,884788,2016-07-01
031,Kings County, California,149785,2016-07-01
033,Lake County, California,64116,2016-07-01
035,Lassen County, California,30870,2016-07-01
037,Los Angeles County, California,10137915,2016-07-01
039,Madera County, California,154697,2016-07-01
041,Marin County, California,260651,2016-07-01
061,Kiowa County, Colorado,1373,2016-07-01
063,Kit Carson County, Colorado,8195,2016-07-01
065,Lake County, Colorado,7618,2016-07-01
067,La Plata County, Colorado,55623,2016-07-01
069,Larimer County, Colorado,339993,2016-07-01
071,Las Animas County, Colorado,14103,2016-07-01
095,Solano County, California,440207,2016-07-01
097,Sonoma County, California,503070,2016-07-01
099,Stanislaus County, California,541560,2016-07-01
101,Sutter County, California,96651,2016-07-01
103,Tehama County, California,63276,2016-07-01
105,Trinity County, California,12782,2016-07-01
107,Tulare County, California,460437,2016-07-01
109,Tuolumne County, California,53804,2016-07-01
111,Ventura County, California,849738,2016-07-01
113,Yolo County, California,215802,2016-07-01
115,Yuba County, California,75275,2016-07-01
001,Adams County, Colorado,498187,2016-07-01
003,Alamosa County, Colorado,16654,2016-07-01
005,Arapahoe County, Colorado,637068,2016-07-01
007,Archuleta County, Colorado,12854,2016-07-01
009,Baca County, Colorado,3568,2016-07-01
011,Bent County, Colorado,5861,2016-07-01
013,Boulder County, Colorado,322226,2016-07-01
014,Broomfield County, Colorado,66529,2016-07-01
015,Chaffee County, Colorado,19058,2016-07-01
017,Cheyenne County, Colorado,1848,2016-07-01
019,Clear Creek County, Colorado,9436,2016-07-01
021,Conejos County, Colorado,8129,2016-07-01
023,Costilla County, Colorado,3721,2016-07-01
025,Crowley County, Colorado,5694,2016-07-01
027,Custer County, Colorado,4602,2016-07-01
029,Delta County, Colorado,30442,2016-07-01
031,Denver County, Colorado,693060,2016-07-01
033,Dolores County, Colorado,2056,2016-07-01
035,Douglas County, Colorado,328632,2016-07-01
037,Eagle County, Colorado,53989,2016-07-01
039,Elbert County, Colorado,25231,2016-07-01
041,El Paso County, Colorado,688284,2016-07-01
043,Fremont County, Colorado,47446,2016-07-01
045,Garfield County, Colorado,58887,2016-07-01
