COUNTY_ID,COUNTY_NAME,STATE,POPULATION,DATE
001,Autauga County, Alabama,55601,2018-07-01
003,Baldwin County, Alabama,218022,2018-07-01
005,Barbour County, Alabama,24881,2018-07-01
007,Bibb County, Alabama,22400,2018-07-01
009,Blount County, Alabama,57840,2018-07-01
011,Bullock County, Alabama,10138,2018-07-01
013,Butler County, Alabama,19680,2018-07-01
015,Calhoun County, Alabama,114277,2018-07-01
017,Chambers County, Alabama,33615,2018-07-01
019,Cherokee County, Alabama,26032,2018-07-01
021,Chilton County, Alabama,44153,2018-07-01
023,Choctaw County, Alabama,12841,2018-07-01
025,Clarke County, Alabama,23920,2018-07-01
027,Clay County, Alabama,13275,2018-07-01
029,Cleburne County, Alabama,14987,2018-07-01
031,Coffee County, Alabama,51909,2018-07-01
033,Colbert County, Alabama,54762,2018-07-01
035,Conecuh County, Alabama,12277,2018-07-01
037,Coosa County, Alabama,10715,2018-07-01
039,Covington County, Alabama,36986,2018-07-01
041,Crenshaw County, Alabama,13824,2018-07-01
043,Cullman County, Alabama,83442,2018-07-01
045,Dale County, Alabama,48956,2018-07-01
047,Dallas County, Alabama,38310,2018-07-01
049,DeKalb County, Alabama,71385,2018-07-01
051,Elmore County, Alabama,81887,2018-07-01
053,Escambia County, Alabama,36748,2018-07-01
055,Etowah County, Alabama,102501,2018-07-01
057,Fayette County, Alabama,16433,2018-07-01
059,Franklin County, Alabama,31363,2018-07-01
061,Geneva County, Alabama,26314,2018-07-01
063,Greene County, Alabama,8233,2018-07-01
065,Hale County, Alabama,14726,2018-07-01
067,Henry County, Alabama,17209,2018-07-01
069,Houston County, Alabama,104722,2018-07-01
071,Jackson County, Alabama,51736,2018-07-01
073,Jefferson County, Alabama,659300,2018-07-01
075,Lamar County, Alabama,13844,2018-07-01
077,Lauderdale County, Alabama,92387,2018-07-01
079,Lawrence County, Alabama,32957,2018-07-01
081,Lee County, Alabama,163941,2018-07-01
083,Limestone County, Alabama,96174,2018-07-01
085,Lowndes County, Alabama,9974,2018-07-01
087,Macon County, Alabama,18439,2018-07-01
089,Madison County, Alabama,366519,2018-07-01
091,Marengo County, Alabama,19066,2018-07-01
093,Marion County, Alabama,29763,2018-07-01
095,Marshall County, Alabama,96109,2018-07-01
097,Mobile County, Alabama,413757,2018-07-01
099,Monroe County, Alabama,21067,2018-07-01
101,Montgomery County, Alabama,225763,2018-07-01
103,Morgan County, Alabama,119089,2018-07-01
105,Perry County, Alabama,9140,2018-07-01
107,Pickens County, Alabama,19938,2018-07-01
109,Pike County, Alabama,33338,2018-07-01
111,Randolph County, Alabama,22725,2018-07-01
113,Russell County, Alabama,57781,2018-07-01
115,St. Clair County, Alabama,88690,2018-07-01
117,Shelby County, Alabama,215707,2018-07-01
119,Sumter County, Alabama,12691,2018-07-01
121,Talladega County, Alabama,79828,2018-07-01
123,Tallapoosa County, Alabama,40497,2018-07-01
125,Tuscaloosa County, Alabama,208911,2018-07-01
