COUNTY,STATE,POPULATION,DATE
Orange County, California,3185968,2018-07-01
Placer County, California,393149,2018-07-01
Plumas County, California,18804,2018-07-01
Riverside County, California,2450758,2018-07-01
Sacramento County, California,1540975,2018-07-01
San Benito County, California,61537,2018-07-01
San Bernardino County, California,2171603,2018-07-01
San Diego County, California,3343364,2018-07-01
San Francisco County, California,883305,2018-07-01
San Joaquin County, California,752660,2018-07-01
San Luis Obispo County, California,284010,2018-07-01
San Mateo County, California,769545,2018-07-01
Santa Barbara County, California,446527,2018-07-01
Santa Clara County, California,1937570,2018-07-01
Santa Cruz County, California,274255,2018-07-01
Shasta County, California,180040,2018-07-01
Sierra County, California,2987,2018-07-01
Siskiyou County, California,43724,2018-07-01
Solano County, California,446610,2018-07-01
Sonoma County, California,499942,2018-07-01
Stanislaus County, California,549815,2018-07-01
Sutter County, California,96807,2018-07-01
Tehama County, California,63916,2018-07-01
Trinity County, California,12535,2018-07-01
Tulare County, California,465861,2018-07-01
Tuolumne County, California,54539,2018-07-01
Ventura County, California,850967,2018-07-01
Yolo County, California,220408,2018-07-01
Yuba County, California,78041,2018-07-01
Adams County, Colorado,511868,2018-07-01
Alamosa County, Colorado,16683,2018-07-01
Arapahoe County, Colorado,651215,2018-07-01
Archuleta County, Colorado,13765,2018-07-01
Baca County, Colorado,3585,2018-07-01
Bent County, Colorado,5882,2018-07-01
Boulder County, Colorado,326078,2018-07-01
Broomfield County, Colorado,69267,2018-07-01
Chaffee County, Colorado,20027,2018-07-01
Cheyenne County, Colorado,1876,2018-07-01
Clear Creek County, Colorado,9605,2018-07-01
Conejos County, Colorado,8200,2018-07-01
Costilla County, Colorado,3828,2018-07-01
Crowley County, Colorado,5858,2018-07-01
Custer County, Colorado,4954,2018-07-01
Delta County, Colorado,30953,2018-07-01
Denver County, Colorado,716492,2018-07-01
Dolores County, Colorado,2074,2018-07-01
Douglas County, Colorado,342776,2018-07-01
Eagle County, Colorado,54993,2018-07-01
Elbert County, Colorado,26282,2018-07-01
El Paso County, Colorado,713856,2018-07-01
Fremont County, Colorado,48021,2018-07-01
Garfield County, Colorado,59770,2018-07-01
Gilpin County, Colorado,6121,2018-07-01
Grand County, Colorado,15525,2018-07-01
Gunnison County, Colorado,17246,2018-07-01
Hinsdale County, Colorado,811,2018-07-01
Huerfano County, Colorado,6889,2018-07-01
Jackson County, Colorado,1399,2018-07-01
Jefferson County, Colorado,580233,2018-07-01
Kiowa County, Colorado,1383,2018-07-01
Kit Carson County, Colorado,7163,2018-07-01
Lake County, Colorado,7824,2018-07-01
La Plata County, Colorado,56310,2018-07-01
Larimer County, Colorado,350518,2018-07-01
Las Animas County, Colorado,14503,2018-07-01
Lincoln County, Colorado,5610,2018-07-01
Logan County, Colorado,21528,2018-07-01
Mesa County, Colorado,153207,2018-07-01
Mineral County, Colorado,776,2018-07-01
Moffat County, Colorado,13188,2018-07-01
Montezuma County, Colorado,26158,2018-07-01
Montrose County, Colorado,42214,2018-07-01
Morgan County, Colorado,28558,2018-07-01
Otero County, Colorado,18432,2018-07-01
Ouray County, Colorado,4833,2018-07-01
Park County, Colorado,18556,2018-07-01
Phillips County, Colorado,4286,2018-07-01
Pitkin County, Colorado,17950,2018-07-01
Prowers County, Colorado,12164,2018-07-01
Pueblo County, Colorado,167529,2018-07-01
Rio Blanco County, Colorado,6336,2018-07-01
Rio Grande County, Colorado,11250,2018-07-01
Routt County, Colorado,25733,2018-07-01
Saguache County, Colorado,6843,2018-07-01
San Juan County, Colorado,762,2018-07-01
San Miguel County, Colorado,8191,2018-07-01
Sedgwick County, Colorado,2303,2018-07-01
Summit County, Colorado,31007,2018-07-01
Teller County, Colorado,25083,2018-07-01
Washington County, Colorado,4909,2018-07-01
Weld County, Colorado,314305,2018-07-01
Yuma County, Colorado,10020,2018-07-01
Fairfield County, Connecticut,943823,2018-07-01
Hartford County, Connecticut,892697,2018-07-01
Litchfield County, Connecticut,181111,2018-07-01
Middlesex County, Connecticut,162682,2018-07-01
New Haven County, Connecticut,857620,2018-07-01
New London County, Connecticut,266784,2018-07-01
Tolland County, Connecticut,150921,2018-07-01
Windham County, Connecticut,117027,2018-07-01
Kent County, Delaware,178550,2018-07-01
New Castle County, Delaware,559335,2018-07-01
Sussex County, Delaware,229286,2018-07-01
District of Columbia, District of Columbia,702455,2018-07-01
Alachua County, Florida,269956,2018-07-01
Baker County, Florida,28355,2018-07-01
Bay County, Florida,185287,2018-07-01
Bradford County, Florida,27732,2018-07-01
Brevard County, Florida,596849,2018-07-01
Broward County, Florida,1951260,2018-07-01
Calhoun County, Florida,14587,2018-07-01
Charlotte County, Florida,184998,2018-07-01
Citrus County, Florida,147929,2018-07-01
Clay County, Florida,216072,2018-07-01
Collier County, Florida,378488,2018-07-01
Columbia County, Florida,70503,2018-07-01
DeSoto County, Florida,37489,2018-07-01
Dixie County, Florida,16700,2018-07-01
Duval County, Florida,950181,2018-07-01
Escambia County, Florida,315534,2018-07-01
Flagler County, Florida,112067,2018-07-01
Franklin County, Florida,11736,2018-07-01
Gadsden County, Florida,45894,2018-07-01
Gilchrist County, Florida,18256,2018-07-01
Glades County, Florida,13724,2018-07-01
Gulf County, Florida,16164,2018-07-01
Hamilton County, Florida,14310,2018-07-01
Hardee County, Florida,27245,2018-07-01
Hendry County, Florida,41556,2018-07-01
Hernando County, Florida,190865,2018-07-01
Highlands County, Florida,105424,2018-07-01
Hillsborough County, Florida,1436888,2018-07-01
Holmes County, Florida,19477,2018-07-01
Indian River County, Florida,157413,2018-07-01
Jackson County, Florida,48305,2018-07-01
Jefferson County, Florida,14288,2018-07-01
Lafayette County, Florida,8732,2018-07-01
Lake County, Florida,356495,2018-07-01
Lee County, Florida,754610,2018-07-01
Leon County, Florida,292502,2018-07-01
Levy County, Florida,40770,2018-07-01
Liberty County, Florida,8457,2018-07-01
Madison County, Florida,18529,2018-07-01
Manatee County, Florida,394855,2018-07-01
Marion County, Florida,359977,2018-07-01
Martin County, Florida,160912,2018-07-01
Miami-Dade County, Florida,2761581,2018-07-01
Monroe County, Florida,75027,2018-07-01
Nassau County, Florida,85832,2018-07-01
Okaloosa County, Florida,207269,2018-07-01
Okeechobee County, Florida,41537,2018-07-01
Orange County, Florida,1380645,2018-07-01
Osceola County, Florida,367990,2018-07-01
Palm Beach County, Florida,1485941,2018-07-01
Pasco County, Florida,539630,2018-07-01
Pinellas County, Florida,975280,2018-07-01
Polk County, Florida,708009,2018-07-01
Putnam County, Florida,74163,2018-07-01
St. Johns County, Florida,254261,2018-07-01
St. Lucie County, Florida,321128,2018-07-01
Santa Rosa County, Florida,179349,2018-07-01
Sarasota County, Florida,426718,2018-07-01
Seminole County, Florida,467832,2018-07-01
Sumter County, Florida,128754,2018-07-01
Suwannee County, Florida,44191,2018-07-01
Taylor County, Florida,21623,2018-07-01
Union County, Florida,14940,2018-07-01
Volusia County, Florida,547538,2018-07-01
Wakulla County, Florida,32461,2018-07-01
Walton County, Florida,71375,2018-07-01
Washington County, Florida,24880,2018-07-01
Appling County, Georgia,18507,2018-07-01
Atkinson County, Georgia,8297,2018-07-01
Bacon County, Georgia,11185,2018-07-01
Baker County, Georgia,3092,2018-07-01
Baldwin County, Georgia,44823,2018-07-01
Banks County, Georgia,18988,2018-07-01
Barrow County, Georgia,80809,2018-07-01
Bartow County, Georgia,106408,2018-07-01
Ben Hill County, Georgia,16787,2018-07-01
Berrien County, Georgia,19252,2018-07-01
Bibb County, Georgia,153095,2018-07-01
Bleckley County, Georgia,12838,2018-07-01
Brantley County, Georgia,18897,2018-07-01
Brooks County, Georgia,15513,2018-07-01
Bryan County, Georgia,38109,2018-07-01
Bulloch County, Georgia,77296,2018-07-01
Burke County, Georgia,22423,2018-07-01
Butts County, Georgia,24193,2018-07-01
Calhoun County, Georgia,6352,2018-07-01
Camden County, Georgia,53677,2018-07-01
Candler County, Georgia,10836,2018-07-01
Carroll County, Georgia,118121,2018-07-01
Catoosa County, Georgia,67420,2018-07-01
Charlton County, Georgia,12968,2018-07-01
Chatham County, Georgia,289195,2018-07-01
Chattahoochee County, Georgia,10684,2018-07-01
Chattooga County, Georgia,24790,2018-07-01
Cherokee County, Georgia,254149,2018-07-01
Clarke County, Georgia,127330,2018-07-01
Clay County, Georgia,2887,2018-07-01
Clayton County, Georgia,289615,2018-07-01
Clinch County, Georgia,6648,2018-07-01
Cobb County, Georgia,756865,2018-07-01
Coffee County, Georgia,43093,2018-07-01
Colquitt County, Georgia,45592,2018-07-01
Columbia County, Georgia,154291,2018-07-01
Cook County, Georgia,17162,2018-07-01
Coweta County, Georgia,145864,2018-07-01
Crawford County, Georgia,12318,2018-07-01
Crisp County, Georgia,22601,2018-07-01
Dade County, Georgia,16226,2018-07-01
Dawson County, Georgia,25083,2018-07-01
Decatur County, Georgia,26575,2018-07-01
DeKalb County, Georgia,756558,2018-07-01
Dodge County, Georgia,20705,2018-07-01
Dooly County, Georgia,13706,2018-07-01
Dougherty County, Georgia,91243,2018-07-01
Douglas County, Georgia,145331,2018-07-01
Early County, Georgia,10247,2018-07-01
Echols County, Georgia,4000,2018-07-01
Effingham County, Georgia,62190,2018-07-01
Elbert County, Georgia,19120,2018-07-01
Emanuel County, Georgia,22612,2018-07-01
Evans County, Georgia,10721,2018-07-01
Fannin County, Georgia,25964,2018-07-01
Fayette County, Georgia,113459,2018-07-01
Floyd County, Georgia,97927,2018-07-01
Forsyth County, Georgia,236612,2018-07-01
Franklin County, Georgia,23023,2018-07-01
Fulton County, Georgia,1050114,2018-07-01
Gilmer County, Georgia,30816,2018-07-01
Glascock County, Georgia,2995,2018-07-01
Glynn County, Georgia,85219,2018-07-01
Gordon County, Georgia,57685,2018-07-01
Grady County, Georgia,24748,2018-07-01
Greene County, Georgia,17698,2018-07-01
Gwinnett County, Georgia,927781,2018-07-01
Habersham County, Georgia,45388,2018-07-01
Hall County, Georgia,202148,2018-07-01
Hancock County, Georgia,8348,2018-07-01
Haralson County, Georgia,29533,2018-07-01
Harris County, Georgia,34475,2018-07-01
Hart County, Georgia,26099,2018-07-01
Heard County, Georgia,11879,2018-07-01
Henry County, Georgia,230220,2018-07-01
Houston County, Georgia,155469,2018-07-01
Irwin County, Georgia,9398,2018-07-01
Jackson County, Georgia,70422,2018-07-01
Jasper County, Georgia,14040,2018-07-01
Jeff Davis County, Georgia,15029,2018-07-01
Jefferson County, Georgia,15430,2018-07-01
Jenkins County, Georgia,8683,2018-07-01
Johnson County, Georgia,9708,2018-07-01
Jones County, Georgia,28616,2018-07-01
Lamar County, Georgia,19000,2018-07-01
Lanier County, Georgia,10340,2018-07-01
Laurens County, Georgia,47325,2018-07-01
Lee County, Georgia,29764,2018-07-01
Liberty County, Georgia,61497,2018-07-01
Lincoln County, Georgia,7915,2018-07-01
Long County, Georgia,18998,2018-07-01
Lowndes County, Georgia,116321,2018-07-01
Lumpkin County, Georgia,32955,2018-07-01
McDuffie County, Georgia,21531,2018-07-01
McIntosh County, Georgia,14340,2018-07-01
Macon County, Georgia,13143,2018-07-01
Madison County, Georgia,29650,2018-07-01
Marion County, Georgia,8351,2018-07-01
Meriwether County, Georgia,21068,2018-07-01
Miller County, Georgia,5686,2018-07-01
Mitchell County, Georgia,22192,2018-07-01
Monroe County, Georgia,27520,2018-07-01
Montgomery County, Georgia,9193,2018-07-01
Morgan County, Georgia,18853,2018-07-01
Murray County, Georgia,39921,2018-07-01
Muscogee County, Georgia,194160,2018-07-01
Newton County, Georgia,109541,2018-07-01
Oconee County, Georgia,39272,2018-07-01
Oglethorpe County, Georgia,15054,2018-07-01
Paulding County, Georgia,164044,2018-07-01
Peach County, Georgia,27297,2018-07-01
Pickens County, Georgia,31980,2018-07-01
Pierce County, Georgia,19389,2018-07-01
Pike County, Georgia,18634,2018-07-01
Polk County, Georgia,42470,2018-07-01
Pulaski County, Georgia,11069,2018-07-01
Putnam County, Georgia,21809,2018-07-01
Quitman County, Georgia,2279,2018-07-01
Rabun County, Georgia,16867,2018-07-01
Randolph County, Georgia,6833,2018-07-01
Richmond County, Georgia,201554,2018-07-01
Rockdale County, Georgia,90594,2018-07-01
Schley County, Georgia,5236,2018-07-01
Screven County, Georgia,13938,2018-07-01
Seminole County, Georgia,8315,2018-07-01
Spalding County, Georgia,66100,2018-07-01
Stephens County, Georgia,26035,2018-07-01
Stewart County, Georgia,6199,2018-07-01
Sumter County, Georgia,29733,2018-07-01
Talbot County, Georgia,6272,2018-07-01
Taliaferro County, Georgia,1608,2018-07-01
Tattnall County, Georgia,25391,2018-07-01
Taylor County, Georgia,8039,2018-07-01
Telfair County, Georgia,15876,2018-07-01
Terrell County, Georgia,8611,2018-07-01
Thomas County, Georgia,44448,2018-07-01
Tift County, Georgia,40571,2018-07-01
Toombs County, Georgia,26887,2018-07-01
Towns County, Georgia,11852,2018-07-01
Treutlen County, Georgia,6809,2018-07-01
Troup County, Georgia,70034,2018-07-01
Turner County, Georgia,7912,2018-07-01
Twiggs County, Georgia,8188,2018-07-01
Union County, Georgia,24001,2018-07-01
Upson County, Georgia,26215,2018-07-01
Walker County, Georgia,69410,2018-07-01
Walton County, Georgia,93503,2018-07-01
Ware County, Georgia,35680,2018-07-01
Warren County, Georgia,5251,2018-07-01
Washington County, Georgia,20386,2018-07-01
Wayne County, Georgia,29808,2018-07-01
Webster County, Georgia,2611,2018-07-01
Wheeler County, Georgia,7879,2018-07-01
White County, Georgia,29970,2018-07-01
Whitfield County, Georgia,104062,2018-07-01
Wilcox County, Georgia,8812,2018-07-01
Wilkes County, Georgia,9876,2018-07-01
Wilkinson County, Georgia,9036,2018-07-01
Worth County, Georgia,20299,2018-07-01
Hawaii County, Hawaii,200983,2018-07-01
Honolulu County, Hawaii,980080,2018-07-01
Kalawao County, Hawaii,88,2018-07-01
Kauai County, Hawaii,72133,2018-07-01
Maui County, Hawaii,167207,2018-07-01
Ada County, Idaho,469966,2018-07-01
Adams County, Idaho,4250,2018-07-01
Bannock County, Idaho,87138,2018-07-01
Bear Lake County, Idaho,6050,2018-07-01
Benewah County, Idaho,9226,2018-07-01
Bingham County, Idaho,46236,2018-07-01
Blaine County, Idaho,22601,2018-07-01
Boise County, Idaho,7634,2018-07-01
Bonner County, Idaho,44727,2018-07-01
Bonneville County, Idaho,116854,2018-07-01
Boundary County, Idaho,11948,2018-07-01
Butte County, Idaho,2611,2018-07-01
Camas County, Idaho,1127,2018-07-01
Canyon County, Idaho,223499,2018-07-01
Caribou County, Idaho,7060,2018-07-01
Cassia County, Idaho,23864,2018-07-01
Clark County, Idaho,852,2018-07-01
Clearwater County, Idaho,8758,2018-07-01
Custer County, Idaho,4280,2018-07-01
Elmore County, Idaho,27259,2018-07-01
Franklin County, Idaho,13726,2018-07-01
Fremont County, Idaho,13168,2018-07-01
Gem County, Idaho,17634,2018-07-01
Gooding County, Idaho,15196,2018-07-01
Idaho County, Idaho,16513,2018-07-01
Jefferson County, Idaho,29439,2018-07-01
Jerome County, Idaho,24015,2018-07-01
Kootenai County, Idaho,161505,2018-07-01
Latah County, Idaho,40134,2018-07-01
Lemhi County, Idaho,7961,2018-07-01
Lewis County, Idaho,3861,2018-07-01
Lincoln County, Idaho,5360,2018-07-01
Madison County, Idaho,39304,2018-07-01
Minidoka County, Idaho,20825,2018-07-01
Nez Perce County, Idaho,40408,2018-07-01
Oneida County, Idaho,4488,2018-07-01
Owyhee County, Idaho,11693,2018-07-01
Payette County, Idaho,23551,2018-07-01
Power County, Idaho,7768,2018-07-01
Shoshone County, Idaho,12796,2018-07-01
Teton County, Idaho,11640,2018-07-01
Twin Falls County, Idaho,86081,2018-07-01
Valley County, Idaho,11041,2018-07-01
Washington County, Idaho,10161,2018-07-01
Adams County, Illinois,65691,2018-07-01
Alexander County, Illinois,6060,2018-07-01
Bond County, Illinois,16630,2018-07-01
Boone County, Illinois,53577,2018-07-01
Brown County, Illinois,6556,2018-07-01
Bureau County, Illinois,32993,2018-07-01
Calhoun County, Illinois,4802,2018-07-01
Carroll County, Illinois,14312,2018-07-01
Cass County, Illinois,12260,2018-07-01
Champaign County, Illinois,209983,2018-07-01
Christian County, Illinois,32661,2018-07-01
Clark County, Illinois,15596,2018-07-01
Clay County, Illinois,13253,2018-07-01
Clinton County, Illinois,37639,2018-07-01
Coles County, Illinois,50885,2018-07-01
Cook County, Illinois,5180493,2018-07-01
Crawford County, Illinois,18807,2018-07-01
Cumberland County, Illinois,10808,2018-07-01
DeKalb County, Illinois,104143,2018-07-01
De Witt County, Illinois,15769,2018-07-01
Douglas County, Illinois,19479,2018-07-01
DuPage County, Illinois,928589,2018-07-01
Edgar County, Illinois,17360,2018-07-01
Edwards County, Illinois,6392,2018-07-01
Effingham County, Illinois,34208,2018-07-01
Fayette County, Illinois,21416,2018-07-01
Ford County, Illinois,13264,2018-07-01
Franklin County, Illinois,38701,2018-07-01
Fulton County, Illinois,34844,2018-07-01
Gallatin County, Illinois,5058,2018-07-01
Greene County, Illinois,13044,2018-07-01
Grundy County, Illinois,50972,2018-07-01
Hamilton County, Illinois,8163,2018-07-01
Hancock County, Illinois,17844,2018-07-01
Hardin County, Illinois,3910,2018-07-01
Henderson County, Illinois,6709,2018-07-01
Henry County, Illinois,49090,2018-07-01
Iroquois County, Illinois,27604,2018-07-01
Jackson County, Illinois,57419,2018-07-01
Jasper County, Illinois,9611,2018-07-01
Jefferson County, Illinois,37820,2018-07-01
Jersey County, Illinois,21847,2018-07-01
Jo Daviess County, Illinois,21366,2018-07-01
Johnson County, Illinois,12456,2018-07-01
Kane County, Illinois,534216,2018-07-01
Kankakee County, Illinois,110024,2018-07-01
Kendall County, Illinois,127915,2018-07-01
Knox County, Illinois,50112,2018-07-01
Lake County, Illinois,700832,2018-07-01
LaSalle County, Illinois,109430,2018-07-01
Lawrence County, Illinois,15765,2018-07-01
Lee County, Illinois,34223,2018-07-01
Livingston County, Illinois,35761,2018-07-01
Logan County, Illinois,28925,2018-07-01
McDonough County, Illinois,29955,2018-07-01
McHenry County, Illinois,308570,2018-07-01
McLean County, Illinois,172828,2018-07-01
Macon County, Illinois,104712,2018-07-01
Macoupin County, Illinois,45313,2018-07-01
Madison County, Illinois,264461,2018-07-01
Marion County, Illinois,37620,2018-07-01
Marshall County, Illinois,11534,2018-07-01
Mason County, Illinois,13565,2018-07-01
Massac County, Illinois,14080,2018-07-01
Menard County, Illinois,12288,2018-07-01
Mercer County, Illinois,15601,2018-07-01
Monroe County, Illinois,34335,2018-07-01
