COUNTY,STATE,POPULATION,DATE
Autauga County, Alabama,55601,2018-07-01
Baldwin County, Alabama,218022,2018-07-01
Barbour County, Alabama,24881,2018-07-01
Bibb County, Alabama,22400,2018-07-01
Blount County, Alabama,57840,2018-07-01
Bullock County, Alabama,10138,2018-07-01
Butler County, Alabama,19680,2018-07-01
Calhoun County, Alabama,114277,2018-07-01
Chambers County, Alabama,33615,2018-07-01
Cherokee County, Alabama,26032,2018-07-01
Chilton County, Alabama,44153,2018-07-01
Choctaw County, Alabama,12841,2018-07-01
Clarke County, Alabama,23920,2018-07-01
Clay County, Alabama,13275,2018-07-01
Cleburne County, Alabama,14987,2018-07-01
Coffee County, Alabama,51909,2018-07-01
Colbert County, Alabama,54762,2018-07-01
Conecuh County, Alabama,12277,2018-07-01
Coosa County, Alabama,10715,2018-07-01
Covington County, Alabama,36986,2018-07-01
Crenshaw County, Alabama,13824,2018-07-01
Cullman County, Alabama,83442,2018-07-01
Dale County, Alabama,48956,2018-07-01
Dallas County, Alabama,38310,2018-07-01
DeKalb County, Alabama,71385,2018-07-01
Elmore County, Alabama,81887,2018-07-01
Escambia County, Alabama,36748,2018-07-01
Etowah County, Alabama,102501,2018-07-01
Fayette County, Alabama,16433,2018-07-01
Franklin County, Alabama,31363,2018-07-01
Geneva County, Alabama,26314,2018-07-01
Greene County, Alabama,8233,2018-07-01
Hale County, Alabama,14726,2018-07-01
Henry County, Alabama,17209,2018-07-01
Houston County, Alabama,104722,2018-07-01
Jackson County, Alabama,51736,2018-07-01
Jefferson County, Alabama,659300,2018-07-01
Lamar County, Alabama,13844,2018-07-01
Lauderdale County, Alabama,92387,2018-07-01
Lawrence County, Alabama,32957,2018-07-01
Lee County, Alabama,163941,2018-07-01
Limestone County, Alabama,96174,2018-07-01
Lowndes County, Alabama,9974,2018-07-01
Macon County, Alabama,18439,2018-07-01
Madison County, Alabama,366519,2018-07-01
Marengo County, Alabama,19066,2018-07-01
Marion County, Alabama,29763,2018-07-01
Marshall County, Alabama,96109,2018-07-01
Mobile County, Alabama,413757,2018-07-01
Monroe County, Alabama,21067,2018-07-01
Montgomery County, Alabama,225763,2018-07-01
Morgan County, Alabama,119089,2018-07-01
Perry County, Alabama,9140,2018-07-01
Pickens County, Alabama,19938,2018-07-01
Pike County, Alabama,33338,2018-07-01
Randolph County, Alabama,22725,2018-07-01
Russell County, Alabama,57781,2018-07-01
St. Clair County, Alabama,88690,2018-07-01
Shelby County, Alabama,215707,2018-07-01
Sumter County, Alabama,12691,2018-07-01
Talladega County, Alabama,79828,2018-07-01
Tallapoosa County, Alabama,40497,2018-07-01
Tuscaloosa County, Alabama,208911,2018-07-01
Walker County, Alabama,63711,2018-07-01
Washington County, Alabama,16378,2018-07-01
Wilcox County, Alabama,10627,2018-07-01
Winston County, Alabama,23660,2018-07-01
Aleutians East Borough, Alaska,3515,2018-07-01
Aleutians West Census Area, Alaska,5723,2018-07-01
Anchorage Municipality, Alaska,291538,2018-07-01
Bethel Census Area, Alaska,18216,2018-07-01
Bristol Bay Borough, Alaska,877,2018-07-01
Denali Borough, Alaska,2059,2018-07-01
Dillingham Census Area, Alaska,5000,2018-07-01
Fairbanks North Star Borough, Alaska,98971,2018-07-01
Haines Borough, Alaska,2474,2018-07-01
Hoonah-Angoon Census Area, Alaska,2151,2018-07-01
Juneau City and Borough, Alaska,32113,2018-07-01
Kenai Peninsula Borough, Alaska,58533,2018-07-01
Ketchikan Gateway Borough, Alaska,13918,2018-07-01
Kodiak Island Borough, Alaska,13345,2018-07-01
Kusilvak Census Area, Alaska,8303,2018-07-01
Lake and Peninsula Borough, Alaska,1587,2018-07-01
Matanuska-Susitna Borough, Alaska,107610,2018-07-01
Nome Census Area, Alaska,10008,2018-07-01
North Slope Borough, Alaska,9872,2018-07-01
Northwest Arctic Borough, Alaska,7671,2018-07-01
Petersburg Borough, Alaska,3221,2018-07-01
Prince of Wales-Hyder Census Area, Alaska,6422,2018-07-01
Sitka City and Borough, Alaska,8647,2018-07-01
Skagway Municipality, Alaska,1148,2018-07-01
Southeast Fairbanks Census Area, Alaska,6918,2018-07-01
Valdez-Cordova Census Area, Alaska,9164,2018-07-01
Wrangell City and Borough, Alaska,2503,2018-07-01
Yakutat City and Borough, Alaska,604,2018-07-01
Yukon-Koyukuk Census Area, Alaska,5327,2018-07-01
Apache County, Arizona,71818,2018-07-01
Cochise County, Arizona,126770,2018-07-01
Coconino County, Arizona,142854,2018-07-01
Gila County, Arizona,53889,2018-07-01
Graham County, Arizona,38072,2018-07-01
Greenlee County, Arizona,9483,2018-07-01
La Paz County, Arizona,21098,2018-07-01
Maricopa County, Arizona,4410824,2018-07-01
Mohave County, Arizona,209550,2018-07-01
Navajo County, Arizona,110445,2018-07-01
Pima County, Arizona,1039073,2018-07-01
Pinal County, Arizona,447138,2018-07-01
Santa Cruz County, Arizona,46511,2018-07-01
Yavapai County, Arizona,231993,2018-07-01
Yuma County, Arizona,212128,2018-07-01
Arkansas County, Arkansas,17769,2018-07-01
Ashley County, Arkansas,20046,2018-07-01
Baxter County, Arkansas,41619,2018-07-01
Benton County, Arkansas,272608,2018-07-01
Boone County, Arkansas,37480,2018-07-01
Bradley County, Arkansas,10897,2018-07-01
Calhoun County, Arkansas,5277,2018-07-01
Carroll County, Arkansas,28223,2018-07-01
Chicot County, Arkansas,10438,2018-07-01
Clark County, Arkansas,22061,2018-07-01
Clay County, Arkansas,14847,2018-07-01
Cleburne County, Arkansas,24965,2018-07-01
Cleveland County, Arkansas,8018,2018-07-01
Columbia County, Arkansas,23537,2018-07-01
Conway County, Arkansas,20891,2018-07-01
Craighead County, Arkansas,108558,2018-07-01
Crawford County, Arkansas,63406,2018-07-01
Crittenden County, Arkansas,48342,2018-07-01
Cross County, Arkansas,16676,2018-07-01
Dallas County, Arkansas,7182,2018-07-01
Desha County, Arkansas,11512,2018-07-01
Drew County, Arkansas,18328,2018-07-01
Faulkner County, Arkansas,124806,2018-07-01
Franklin County, Arkansas,17810,2018-07-01
Fulton County, Arkansas,12269,2018-07-01
Garland County, Arkansas,99154,2018-07-01
Grant County, Arkansas,18188,2018-07-01
Greene County, Arkansas,45325,2018-07-01
Hempstead County, Arkansas,21741,2018-07-01
Hot Spring County, Arkansas,33701,2018-07-01
Howard County, Arkansas,13341,2018-07-01
Independence County, Arkansas,37678,2018-07-01
Izard County, Arkansas,13593,2018-07-01
Jackson County, Arkansas,16811,2018-07-01
Jefferson County, Arkansas,68114,2018-07-01
Johnson County, Arkansas,26742,2018-07-01
Lafayette County, Arkansas,6682,2018-07-01
Lawrence County, Arkansas,16434,2018-07-01
Lee County, Arkansas,8985,2018-07-01
Lincoln County, Arkansas,13383,2018-07-01
Little River County, Arkansas,12326,2018-07-01
Logan County, Arkansas,21737,2018-07-01
Lonoke County, Arkansas,73657,2018-07-01
Madison County, Arkansas,16481,2018-07-01
Marion County, Arkansas,16722,2018-07-01
Miller County, Arkansas,43592,2018-07-01
Mississippi County, Arkansas,41239,2018-07-01
Monroe County, Arkansas,6900,2018-07-01
Montgomery County, Arkansas,8924,2018-07-01
Nevada County, Arkansas,8326,2018-07-01
Newton County, Arkansas,7805,2018-07-01
Ouachita County, Arkansas,23606,2018-07-01
Perry County, Arkansas,10352,2018-07-01
Phillips County, Arkansas,18029,2018-07-01
Pike County, Arkansas,10673,2018-07-01
Poinsett County, Arkansas,23974,2018-07-01
Polk County, Arkansas,20049,2018-07-01
Pope County, Arkansas,64000,2018-07-01
Prairie County, Arkansas,8074,2018-07-01
Pulaski County, Arkansas,392680,2018-07-01
Randolph County, Arkansas,17948,2018-07-01
St. Francis County, Arkansas,25439,2018-07-01
Saline County, Arkansas,121421,2018-07-01
Scott County, Arkansas,10319,2018-07-01
Searcy County, Arkansas,7958,2018-07-01
Sebastian County, Arkansas,127753,2018-07-01
Sevier County, Arkansas,17139,2018-07-01
Sharp County, Arkansas,17366,2018-07-01
Stone County, Arkansas,12457,2018-07-01
Union County, Arkansas,39126,2018-07-01
Van Buren County, Arkansas,16603,2018-07-01
Washington County, Arkansas,236961,2018-07-01
White County, Arkansas,78727,2018-07-01
Woodruff County, Arkansas,6490,2018-07-01
Yell County, Arkansas,21535,2018-07-01
Alameda County, California,1666753,2018-07-01
Alpine County, California,1101,2018-07-01
Amador County, California,39383,2018-07-01
Butte County, California,231256,2018-07-01
Calaveras County, California,45602,2018-07-01
Colusa County, California,21627,2018-07-01
Contra Costa County, California,1150215,2018-07-01
Del Norte County, California,27828,2018-07-01
El Dorado County, California,190678,2018-07-01
Fresno County, California,994400,2018-07-01
Glenn County, California,28047,2018-07-01
Humboldt County, California,136373,2018-07-01
Imperial County, California,181827,2018-07-01
Inyo County, California,17987,2018-07-01
Kern County, California,896764,2018-07-01
Kings County, California,151366,2018-07-01
Lake County, California,64382,2018-07-01
Lassen County, California,30802,2018-07-01
Los Angeles County, California,10105518,2018-07-01
Madera County, California,157672,2018-07-01
Marin County, California,259666,2018-07-01
Mariposa County, California,17471,2018-07-01
Mendocino County, California,87606,2018-07-01
Merced County, California,274765,2018-07-01
Modoc County, California,8777,2018-07-01
Mono County, California,14250,2018-07-01
Monterey County, California,435594,2018-07-01
Napa County, California,139417,2018-07-01
Nevada County, California,99696,2018-07-01
