STATE,POPULATION,DATE,State Code
District of Columbia,693972,7/1/2017 population estimate,11
Florida,20984400,7/1/2017 population estimate,12
Georgia,10429379,7/1/2017 population estimate,13
Hawaii,1427538,7/1/2017 population estimate,15
Idaho,1716943,7/1/2017 population estimate,16
Illinois,12802023,7/1/2017 population estimate,17
Indiana,6666818,7/1/2017 population estimate,18
Iowa,3145711,7/1/2017 population estimate,19
Kansas,2913123,7/1/2017 population estimate,20
Kentucky,4454189,7/1/2017 population estimate,21
Louisiana,4684333,7/1/2017 population estimate,22
Maine,1335907,7/1/2017 population estimate,23
Maryland,6052177,7/1/2017 population estimate,24
Massachusetts,6859819,7/1/2017 population estimate,25
Alabama,4874747,7/1/2017 population estimate,01
Alaska,739795,7/1/2017 population estimate,02
Arizona,7016270,7/1/2017 population estimate,04
Arkansas,3004279,7/1/2017 population estimate,05
California,39536653,7/1/2017 population estimate,06
Colorado,5607154,7/1/2017 population estimate,08
Connecticut,3588184,7/1/2017 population estimate,09
Delaware,961939,7/1/2017 population estimate,10
Michigan,9962311,7/1/2017 population estimate,26
Minnesota,5576606,7/1/2017 population estimate,27
Mississippi,2984100,7/1/2017 population estimate,28
Missouri,6113532,7/1/2017 population estimate,29
Montana,1050493,7/1/2017 population estimate,30
Nebraska,1920076,7/1/2017 population estimate,31
Nevada,2998039,7/1/2017 population estimate,32
New Hampshire,1342795,7/1/2017 population estimate,33
New Jersey,9005644,7/1/2017 population estimate,34
New Mexico,2088070,7/1/2017 population estimate,35
New York,19849399,7/1/2017 population estimate,36
North Carolina,10273419,7/1/2017 population estimate,37
North Dakota,755393,7/1/2017 population estimate,38
Ohio,11658609,7/1/2017 population estimate,39
Oklahoma,3930864,7/1/2017 population estimate,40
Oregon,4142776,7/1/2017 population estimate,41
Pennsylvania,12805537,7/1/2017 population estimate,42
Rhode Island,1059639,7/1/2017 population estimate,44
South Carolina,5024369,7/1/2017 population estimate,45
South Dakota,869666,7/1/2017 population estimate,46
Tennessee,6715984,7/1/2017 population estimate,47
Texas,28304596,7/1/2017 population estimate,48
Utah,3101833,7/1/2017 population estimate,49
Vermont,623657,7/1/2017 population estimate,50
Virginia,8470020,7/1/2017 population estimate,51
Washington,7405743,7/1/2017 population estimate,53
West Virginia,1815857,7/1/2017 population estimate,54
Wisconsin,5795483,7/1/2017 population estimate,55
Wyoming,579315,7/1/2017 population estimate,56
Puerto Rico,3337177,7/1/2017 population estimate,72
