COUNTY,STATE,POPULATION,DATE
Fulton County, Arkansas,12123,2016-07-01
Garland County, Arkansas,97477,2016-07-01
Grant County, Arkansas,18082,2016-07-01
Greene County, Arkansas,44598,2016-07-01
Hempstead County, Arkansas,21974,2016-07-01
Hot Spring County, Arkansas,33374,2016-07-01
Howard County, Arkansas,13377,2016-07-01
Independence County, Arkansas,37168,2016-07-01
Izard County, Arkansas,13433,2016-07-01
Jackson County, Arkansas,17221,2016-07-01
Jefferson County, Arkansas,70016,2016-07-01
Johnson County, Arkansas,26176,2016-07-01
Lafayette County, Arkansas,6847,2016-07-01
Lawrence County, Arkansas,16735,2016-07-01
Lee County, Arkansas,9310,2016-07-01
Lincoln County, Arkansas,13705,2016-07-01
Little River County, Arkansas,12451,2016-07-01
Logan County, Arkansas,21792,2016-07-01
Lonoke County, Arkansas,72228,2016-07-01
Madison County, Arkansas,16072,2016-07-01
Marion County, Arkansas,16325,2016-07-01
Miller County, Arkansas,43787,2016-07-01
Mississippi County, Arkansas,42835,2016-07-01
Monroe County, Arkansas,7169,2016-07-01
Montgomery County, Arkansas,8879,2016-07-01
Nevada County, Arkansas,8398,2016-07-01
Newton County, Arkansas,7936,2016-07-01
Ouachita County, Arkansas,24098,2016-07-01
Perry County, Arkansas,10132,2016-07-01
Phillips County, Arkansas,18975,2016-07-01
Pike County, Arkansas,10832,2016-07-01
Poinsett County, Arkansas,24023,2016-07-01
Polk County, Arkansas,20173,2016-07-01
Pope County, Arkansas,63779,2016-07-01
Prairie County, Arkansas,8251,2016-07-01
Pulaski County, Arkansas,393250,2016-07-01
Randolph County, Arkansas,17448,2016-07-01
St. Francis County, Arkansas,26196,2016-07-01
Mariposa County, California,17410,2016-07-01
Mendocino County, California,87628,2016-07-01
Merced County, California,268672,2016-07-01
Modoc County, California,8795,2016-07-01
Mono County, California,13981,2016-07-01
Monterey County, California,435232,2016-07-01
Napa County, California,142166,2016-07-01
Nevada County, California,99107,2016-07-01
Orange County, California,3172532,2016-07-01
Placer County, California,380531,2016-07-01
Plumas County, California,18627,2016-07-01
Riverside County, California,2387741,2016-07-01
Sacramento County, California,1514460,2016-07-01
San Benito County, California,59414,2016-07-01
San Bernardino County, California,2140096,2016-07-01
San Diego County, California,3317749,2016-07-01
San Francisco County, California,870887,2016-07-01
San Joaquin County, California,733709,2016-07-01
San Luis Obispo County, California,282887,2016-07-01
San Mateo County, California,764797,2016-07-01
Santa Barbara County, California,446170,2016-07-01
Santa Clara County, California,1919402,2016-07-01
Santa Cruz County, California,274673,2016-07-01
Shasta County, California,179631,2016-07-01
Sierra County, California,2947,2016-07-01
Siskiyou County, California,43603,2016-07-01
Union County, Arkansas,39887,2016-07-01
Van Buren County, Arkansas,16628,2016-07-01
Washington County, Arkansas,228049,2016-07-01
White County, Arkansas,79263,2016-07-01
Woodruff County, Arkansas,6641,2016-07-01
Yell County, Arkansas,21552,2016-07-01
Alameda County, California,1647704,2016-07-01
Alpine County, California,1071,2016-07-01
Amador County, California,37383,2016-07-01
Butte County, California,226864,2016-07-01
Calaveras County, California,45171,2016-07-01
Colusa County, California,21588,2016-07-01
Contra Costa County, California,1135127,2016-07-01
Del Norte County, California,27540,2016-07-01
El Dorado County, California,185625,2016-07-01
Fresno County, California,979915,2016-07-01
Glenn County, California,28085,2016-07-01
Humboldt County, California,136646,2016-07-01
Imperial County, California,180883,2016-07-01
Inyo County, California,18144,2016-07-01
Kern County, California,884788,2016-07-01
Kings County, California,149785,2016-07-01
Lake County, California,64116,2016-07-01
Lassen County, California,30870,2016-07-01
Los Angeles County, California,10137915,2016-07-01
Madera County, California,154697,2016-07-01
Marin County, California,260651,2016-07-01
Kiowa County, Colorado,1373,2016-07-01
Kit Carson County, Colorado,8195,2016-07-01
Lake County, Colorado,7618,2016-07-01
La Plata County, Colorado,55623,2016-07-01
Larimer County, Colorado,339993,2016-07-01
Las Animas County, Colorado,14103,2016-07-01
Solano County, California,440207,2016-07-01
Sonoma County, California,503070,2016-07-01
Stanislaus County, California,541560,2016-07-01
Sutter County, California,96651,2016-07-01
Tehama County, California,63276,2016-07-01
Trinity County, California,12782,2016-07-01
Tulare County, California,460437,2016-07-01
Tuolumne County, California,53804,2016-07-01
Ventura County, California,849738,2016-07-01
Yolo County, California,215802,2016-07-01
Yuba County, California,75275,2016-07-01
Adams County, Colorado,498187,2016-07-01
Alamosa County, Colorado,16654,2016-07-01
Arapahoe County, Colorado,637068,2016-07-01
Archuleta County, Colorado,12854,2016-07-01
Baca County, Colorado,3568,2016-07-01
Bent County, Colorado,5861,2016-07-01
Boulder County, Colorado,322226,2016-07-01
Broomfield County, Colorado,66529,2016-07-01
Chaffee County, Colorado,19058,2016-07-01
Cheyenne County, Colorado,1848,2016-07-01
Clear Creek County, Colorado,9436,2016-07-01
Conejos County, Colorado,8129,2016-07-01
Costilla County, Colorado,3721,2016-07-01
Crowley County, Colorado,5694,2016-07-01
Custer County, Colorado,4602,2016-07-01
Delta County, Colorado,30442,2016-07-01
Denver County, Colorado,693060,2016-07-01
Dolores County, Colorado,2056,2016-07-01
Douglas County, Colorado,328632,2016-07-01
Eagle County, Colorado,53989,2016-07-01
Elbert County, Colorado,25231,2016-07-01
El Paso County, Colorado,688284,2016-07-01
Fremont County, Colorado,47446,2016-07-01
Garfield County, Colorado,58887,2016-07-01
Gilpin County, Colorado,5931,2016-07-01
Grand County, Colorado,15008,2016-07-01
Gunnison County, Colorado,16408,2016-07-01
Hinsdale County, Colorado,788,2016-07-01
Huerfano County, Colorado,6677,2016-07-01
Jackson County, Colorado,1357,2016-07-01
Jefferson County, Colorado,571837,2016-07-01
Hartford County, Connecticut,892389,2016-07-01
Litchfield County, Connecticut,182571,2016-07-01
Middlesex County, Connecticut,163329,2016-07-01
New Haven County, Connecticut,856875,2016-07-01
New London County, Connecticut,269801,2016-07-01
Tolland County, Connecticut,151118,2016-07-01
Windham County, Connecticut,116192,2016-07-01
Kent County, Delaware,174827,2016-07-01
New Castle County, Delaware,556987,2016-07-01
Sussex County, Delaware,220251,2016-07-01
District of Columbia, District of Columbia,681170,2016-07-01
Alachua County, Florida,263496,2016-07-01
Baker County, Florida,27937,2016-07-01
Bay County, Florida,183974,2016-07-01
Bradford County, Florida,26926,2016-07-01
Brevard County, Florida,579130,2016-07-01
Broward County, Florida,1909632,2016-07-01
Calhoun County, Florida,14423,2016-07-01
Charlotte County, Florida,178465,2016-07-01
Citrus County, Florida,143621,2016-07-01
Clay County, Florida,208311,2016-07-01
Collier County, Florida,365136,2016-07-01
Columbia County, Florida,69299,2016-07-01
DeSoto County, Florida,35800,2016-07-01
Dixie County, Florida,16300,2016-07-01
Duval County, Florida,926255,2016-07-01
Escambia County, Florida,315187,2016-07-01
Lincoln County, Colorado,5643,2016-07-01
Logan County, Colorado,21919,2016-07-01
Mesa County, Colorado,150083,2016-07-01
Mineral County, Colorado,732,2016-07-01
Moffat County, Colorado,13109,2016-07-01
Montezuma County, Colorado,26999,2016-07-01
Montrose County, Colorado,41471,2016-07-01
Morgan County, Colorado,28274,2016-07-01
Otero County, Colorado,18295,2016-07-01
Ouray County, Colorado,4857,2016-07-01
Park County, Colorado,17166,2016-07-01
Phillips County, Colorado,4288,2016-07-01
Pitkin County, Colorado,17752,2016-07-01
Prowers County, Colorado,11922,2016-07-01
Pueblo County, Colorado,165123,2016-07-01
Rio Blanco County, Colorado,6545,2016-07-01
Rio Grande County, Colorado,11479,2016-07-01
Routt County, Colorado,24648,2016-07-01
Saguache County, Colorado,6389,2016-07-01
San Juan County, Colorado,694,2016-07-01
San Miguel County, Colorado,8017,2016-07-01
Sedgwick County, Colorado,2407,2016-07-01
Summit County, Colorado,30374,2016-07-01
Teller County, Colorado,24043,2016-07-01
Washington County, Colorado,4908,2016-07-01
Weld County, Colorado,294932,2016-07-01
Yuma County, Colorado,10103,2016-07-01
Fairfield County, Connecticut,944177,2016-07-01
Seminole County, Florida,455479,2016-07-01
Sumter County, Florida,123996,2016-07-01
Suwannee County, Florida,43794,2016-07-01
Taylor County, Florida,22175,2016-07-01
Union County, Florida,15142,2016-07-01
Volusia County, Florida,529364,2016-07-01
Wakulla County, Florida,31893,2016-07-01
Flagler County, Florida,108310,2016-07-01
Franklin County, Florida,11901,2016-07-01
Gadsden County, Florida,46006,2016-07-01
Gilchrist County, Florida,17212,2016-07-01
Glades County, Florida,13970,2016-07-01
Gulf County, Florida,15990,2016-07-01
Hamilton County, Florida,14361,2016-07-01
Hardee County, Florida,27360,2016-07-01
Hendry County, Florida,39290,2016-07-01
Hernando County, Florida,182835,2016-07-01
Highlands County, Florida,100917,2016-07-01
Hillsborough County, Florida,1376238,2016-07-01
Holmes County, Florida,19487,2016-07-01
Indian River County, Florida,151563,2016-07-01
Jackson County, Florida,48229,2016-07-01
Jefferson County, Florida,13906,2016-07-01
Lafayette County, Florida,8617,2016-07-01
Lake County, Florida,335396,2016-07-01
Lee County, Florida,722336,2016-07-01
Leon County, Florida,287822,2016-07-01
Levy County, Florida,39961,2016-07-01
Liberty County, Florida,8202,2016-07-01
Madison County, Florida,18224,2016-07-01
Manatee County, Florida,375888,2016-07-01
Marion County, Florida,349020,2016-07-01
Martin County, Florida,158701,2016-07-01
Miami-Dade County, Florida,2712945,2016-07-01
Monroe County, Florida,79077,2016-07-01
Nassau County, Florida,80622,2016-07-01
Okaloosa County, Florida,201170,2016-07-01
Okeechobee County, Florida,40314,2016-07-01
Orange County, Florida,1314367,2016-07-01
Osceola County, Florida,336015,2016-07-01
Palm Beach County, Florida,1443810,2016-07-01
Pasco County, Florida,512368,2016-07-01
Pinellas County, Florida,960730,2016-07-01
Polk County, Florida,666149,2016-07-01
Putnam County, Florida,72277,2016-07-01
St. Johns County, Florida,235087,2016-07-01
St. Lucie County, Florida,306507,2016-07-01
Santa Rosa County, Florida,170497,2016-07-01
Sarasota County, Florida,412569,2016-07-01
Chattooga County, Georgia,24824,2016-07-01
Cherokee County, Georgia,241689,2016-07-01
Clarke County, Georgia,124707,2016-07-01
Clay County, Georgia,3020,2016-07-01
Clayton County, Georgia,279462,2016-07-01
Clinch County, Georgia,6829,2016-07-01
Cobb County, Georgia,748150,2016-07-01
