COUNTY,STATE,POPULATION,DATE
Macon County, Illinois,106550,2016-07-01
Macoupin County, Illinois,45908,2016-07-01
Madison County, Illinois,265759,2016-07-01
Marion County, Illinois,38140,2016-07-01
Marshall County, Illinois,11939,2016-07-01
Mason County, Illinois,13507,2016-07-01
Massac County, Illinois,14658,2016-07-01
Menard County, Illinois,12516,2016-07-01
Mercer County, Illinois,15730,2016-07-01
Monroe County, Illinois,34068,2016-07-01
Montgomery County, Illinois,28952,2016-07-01
Morgan County, Illinois,34277,2016-07-01
Moultrie County, Illinois,14827,2016-07-01
Ogle County, Illinois,51273,2016-07-01
Peoria County, Illinois,185006,2016-07-01
Perry County, Illinois,21357,2016-07-01
Piatt County, Illinois,16560,2016-07-01
Pike County, Illinois,15950,2016-07-01
Pope County, Illinois,4157,2016-07-01
Pulaski County, Illinois,5619,2016-07-01
Putnam County, Illinois,5611,2016-07-01
Randolph County, Illinois,32621,2016-07-01
Richland County, Illinois,15930,2016-07-01
Rock Island County, Illinois,144784,2016-07-01
St. Clair County, Illinois,262759,2016-07-01
Saline County, Illinois,24307,2016-07-01
Sangamon County, Illinois,197499,2016-07-01
Schuyler County, Illinois,6923,2016-07-01
Scott County, Illinois,5053,2016-07-01
Shelby County, Illinois,21717,2016-07-01
Stark County, Illinois,5776,2016-07-01
Stephenson County, Illinois,45624,2016-07-01
Tazewell County, Illinois,134385,2016-07-01
Union County, Illinois,17212,2016-07-01
Vermilion County, Illinois,78111,2016-07-01
Wabash County, Illinois,11492,2016-07-01
Warren County, Illinois,17378,2016-07-01
Washington County, Illinois,14154,2016-07-01
Wayne County, Illinois,16396,2016-07-01
Hancock County, Indiana,73717,2016-07-01
Harrison County, Indiana,39826,2016-07-01
Hendricks County, Indiana,160610,2016-07-01
Henry County, Indiana,48521,2016-07-01
Howard County, Indiana,82568,2016-07-01
Huntington County, Indiana,36400,2016-07-01
Jackson County, Indiana,44013,2016-07-01
Jasper County, Indiana,33433,2016-07-01
Jay County, Indiana,21046,2016-07-01
Jefferson County, Indiana,32418,2016-07-01
Jennings County, Indiana,27758,2016-07-01
Johnson County, Indiana,151982,2016-07-01
Knox County, Indiana,37744,2016-07-01
Kosciusko County, Indiana,79092,2016-07-01
LaGrange County, Indiana,39110,2016-07-01
Lake County, Indiana,485846,2016-07-01
LaPorte County, Indiana,110015,2016-07-01
Lawrence County, Indiana,45518,2016-07-01
Madison County, Indiana,129296,2016-07-01
Marion County, Indiana,941229,2016-07-01
Marshall County, Indiana,46556,2016-07-01
Martin County, Indiana,10171,2016-07-01
Miami County, Indiana,35883,2016-07-01
Monroe County, Indiana,145496,2016-07-01
Montgomery County, Indiana,38074,2016-07-01
Morgan County, Indiana,69698,2016-07-01
Newton County, Indiana,13924,2016-07-01
Noble County, Indiana,47638,2016-07-01
Allen County, Indiana,370404,2016-07-01
Bartholomew County, Indiana,81402,2016-07-01
Benton County, Indiana,8650,2016-07-01
Blackford County, Indiana,12149,2016-07-01
Boone County, Indiana,64653,2016-07-01
Brown County, Indiana,14912,2016-07-01
Carroll County, Indiana,19970,2016-07-01
Cass County, Indiana,37946,2016-07-01
Clark County, Indiana,116031,2016-07-01
Clay County, Indiana,26309,2016-07-01
Clinton County, Indiana,32457,2016-07-01
Crawford County, Indiana,10539,2016-07-01
Daviess County, Indiana,32969,2016-07-01
Dearborn County, Indiana,49331,2016-07-01
Decatur County, Indiana,26598,2016-07-01
DeKalb County, Indiana,42746,2016-07-01
Delaware County, Indiana,115603,2016-07-01
Dubois County, Indiana,42552,2016-07-01
Elkhart County, Indiana,203781,2016-07-01
Fayette County, Indiana,23331,2016-07-01
Floyd County, Indiana,76990,2016-07-01
Fountain County, Indiana,16486,2016-07-01
Franklin County, Indiana,22715,2016-07-01
Fulton County, Indiana,20139,2016-07-01
Gibson County, Indiana,33703,2016-07-01
Grant County, Indiana,66937,2016-07-01
Greene County, Indiana,32211,2016-07-01
Hamilton County, Indiana,316373,2016-07-01
Scotland County, Missouri,4932,2016-07-01
Scott County, Missouri,38745,2016-07-01
Shannon County, Missouri,8168,2016-07-01
Shelby County, Missouri,6082,2016-07-01
Stoddard County, Missouri,29588,2016-07-01
Stone County, Missouri,31047,2016-07-01
Sullivan County, Missouri,6262,2016-07-01
Jackson County, Michigan,158460,2016-07-01
Kalamazoo County, Michigan,261654,2016-07-01
Kalkaska County, Michigan,17263,2016-07-01
Kent County, Michigan,642173,2016-07-01
Keweenaw County, Michigan,2199,2016-07-01
Lake County, Michigan,11496,2016-07-01
Lapeer County, Michigan,88340,2016-07-01
Redwood County, Minnesota,15263,2016-07-01
Renville County, Minnesota,14660,2016-07-01
Rice County, Minnesota,65622,2016-07-01
Rock County, Minnesota,9564,2016-07-01
Roseau County, Minnesota,15626,2016-07-01
St. Louis County, Minnesota,199980,2016-07-01
Scott County, Minnesota,143680,2016-07-01
Webster County, Mississippi,9767,2016-07-01
Wilkinson County, Mississippi,9047,2016-07-01
Winston County, Mississippi,18160,2016-07-01
Yalobusha County, Mississippi,12471,2016-07-01
Yazoo County, Mississippi,27264,2016-07-01
Adair County, Missouri,25359,2016-07-01
Taney County, Missouri,54735,2016-07-01
Texas County, Missouri,25775,2016-07-01
Vernon County, Missouri,20723,2016-07-01
Warren County, Missouri,33802,2016-07-01
Washington County, Missouri,24839,2016-07-01
Wayne County, Missouri,13139,2016-07-01
Webster County, Missouri,38106,2016-07-01
Leelanau County, Michigan,21765,2016-07-01
Lenawee County, Michigan,98504,2016-07-01
Livingston County, Michigan,188624,2016-07-01
Luce County, Michigan,6358,2016-07-01
Mackinac County, Michigan,10820,2016-07-01
Macomb County, Michigan,867730,2016-07-01
Sherburne County, Minnesota,93528,2016-07-01
Sibley County, Minnesota,14827,2016-07-01
Stearns County, Minnesota,155652,2016-07-01
Steele County, Minnesota,36805,2016-07-01
Stevens County, Minnesota,9693,2016-07-01
Swift County, Minnesota,9419,2016-07-01
Todd County, Minnesota,24233,2016-07-01
Andrew County, Missouri,17350,2016-07-01
Atchison County, Missouri,5293,2016-07-01
Audrain County, Missouri,26021,2016-07-01
Barry County, Missouri,35732,2016-07-01
Barton County, Missouri,11908,2016-07-01
Bates County, Missouri,16417,2016-07-01
Benton County, Missouri,18839,2016-07-01
Worth County, Missouri,2024,2016-07-01
Wright County, Missouri,18286,2016-07-01
St. Louis city, Missouri,311404,2016-07-01
Beaverhead County, Montana,9401,2016-07-01
Big Horn County, Montana,13343,2016-07-01
Blaine County, Montana,6601,2016-07-01
Broadwater County, Montana,5747,2016-07-01
Manistee County, Michigan,24373,2016-07-01
Marquette County, Michigan,66435,2016-07-01
Mason County, Michigan,28876,2016-07-01
Mecosta County, Michigan,43221,2016-07-01
Menominee County, Michigan,23281,2016-07-01
Midland County, Michigan,83462,2016-07-01
Missaukee County, Michigan,15102,2016-07-01
Traverse County, Minnesota,3356,2016-07-01
Wabasha County, Minnesota,21273,2016-07-01
Wadena County, Minnesota,13761,2016-07-01
Waseca County, Minnesota,18911,2016-07-01
Washington County, Minnesota,253117,2016-07-01
Watonwan County, Minnesota,10908,2016-07-01
Bollinger County, Missouri,12052,2016-07-01
Boone County, Missouri,176594,2016-07-01
Buchanan County, Missouri,88938,2016-07-01
Butler County, Missouri,42739,2016-07-01
Caldwell County, Missouri,9062,2016-07-01
Callaway County, Missouri,45078,2016-07-01
Camden County, Missouri,44497,2016-07-01
Carbon County, Montana,10460,2016-07-01
Carter County, Montana,1203,2016-07-01
Cascade County, Montana,81755,2016-07-01
Chouteau County, Montana,5759,2016-07-01
Custer County, Montana,11924,2016-07-01
Daniels County, Montana,1755,2016-07-01
Dawson County, Montana,9327,2016-07-01
Monroe County, Michigan,149208,2016-07-01
Montcalm County, Michigan,62974,2016-07-01
Montmorency County, Michigan,9173,2016-07-01
Muskegon County, Michigan,173408,2016-07-01
Newaygo County, Michigan,47938,2016-07-01
Oakland County, Michigan,1243970,2016-07-01
Oceana County, Michigan,26027,2016-07-01
Wilkin County, Minnesota,6358,2016-07-01
Winona County, Minnesota,50948,2016-07-01
Wright County, Minnesota,132550,2016-07-01
Yellow Medicine County, Minnesota,9935,2016-07-01
Adams County, Mississippi,31248,2016-07-01
Alcorn County, Mississippi,37304,2016-07-01
Amite County, Mississippi,12458,2016-07-01
Cape Girardeau County, Missouri,78913,2016-07-01
Carroll County, Missouri,8913,2016-07-01
Carter County, Missouri,6168,2016-07-01
Cass County, Missouri,102845,2016-07-01
Cedar County, Missouri,14016,2016-07-01
Chariton County, Missouri,7516,2016-07-01
Christian County, Missouri,84401,2016-07-01
Deer Lodge County, Montana,9085,2016-07-01
Fallon County, Montana,3120,2016-07-01
Fergus County, Montana,11413,2016-07-01
Flathead County, Montana,98082,2016-07-01
Gallatin County, Montana,104502,2016-07-01
Garfield County, Montana,1310,2016-07-01
Glacier County, Montana,13694,2016-07-01
Ogemaw County, Michigan,20904,2016-07-01
Ontonagon County, Michigan,5911,2016-07-01
Osceola County, Michigan,23110,2016-07-01
Oscoda County, Michigan,8264,2016-07-01
Otsego County, Michigan,24470,2016-07-01
Ottawa County, Michigan,282250,2016-07-01
Presque Isle County, Michigan,12762,2016-07-01
Attala County, Mississippi,18934,2016-07-01
Benton County, Mississippi,8264,2016-07-01
Bolivar County, Mississippi,32737,2016-07-01
Calhoun County, Mississippi,14610,2016-07-01
Carroll County, Mississippi,10255,2016-07-01
Chickasaw County, Mississippi,17246,2016-07-01
Choctaw County, Mississippi,8242,2016-07-01
Clark County, Missouri,6723,2016-07-01
Clay County, Missouri,239085,2016-07-01
Clinton County, Missouri,20610,2016-07-01
Cole County, Missouri,76631,2016-07-01
Cooper County, Missouri,17712,2016-07-01
Crawford County, Missouri,24302,2016-07-01
Dade County, Missouri,7631,2016-07-01
Golden Valley County, Montana,831,2016-07-01
Granite County, Montana,3368,2016-07-01
Hill County, Montana,16542,2016-07-01
Jefferson County, Montana,11853,2016-07-01
Judith Basin County, Montana,1940,2016-07-01
Lake County, Montana,29758,2016-07-01
Roscommon County, Michigan,23700,2016-07-01
Saginaw County, Michigan,192326,2016-07-01
St. Clair County, Michigan,159587,2016-07-01
St. Joseph County, Michigan,60853,2016-07-01
Sanilac County, Michigan,41409,2016-07-01
Schoolcraft County, Michigan,8001,2016-07-01
Shiawassee County, Michigan,68554,2016-07-01
Claiborne County, Mississippi,9139,2016-07-01
Clarke County, Mississippi,15888,2016-07-01
Clay County, Mississippi,19850,2016-07-01
Coahoma County, Mississippi,23809,2016-07-01
Copiah County, Mississippi,28482,2016-07-01
Covington County, Mississippi,19569,2016-07-01
DeSoto County, Mississippi,175611,2016-07-01
Dallas County, Missouri,16448,2016-07-01
Daviess County, Missouri,8209,2016-07-01
DeKalb County, Missouri,12613,2016-07-01
Dent County, Missouri,15387,2016-07-01
Douglas County, Missouri,13358,2016-07-01
Dunklin County, Missouri,30535,2016-07-01
Franklin County, Missouri,102838,2016-07-01
Charles County, Maryland,157705,2016-07-01
Dorchester County, Maryland,32258,2016-07-01
Frederick County, Maryland,247591,2016-07-01
Garrett County, Maryland,29425,2016-07-01
Harford County, Maryland,251032,2016-07-01
Howard County, Maryland,317233,2016-07-01
Kent County, Maryland,19730,2016-07-01
Tuscola County, Michigan,53338,2016-07-01
Van Buren County, Michigan,75223,2016-07-01
Washtenaw County, Michigan,364709,2016-07-01
Wayne County, Michigan,1749366,2016-07-01
Wexford County, Michigan,33163,2016-07-01
Aitkin County, Minnesota,15583,2016-07-01
Anoka County, Minnesota,345957,2016-07-01
Forrest County, Mississippi,75979,2016-07-01
Franklin County, Mississippi,7782,2016-07-01
George County, Mississippi,23695,2016-07-01
Greene County, Mississippi,13408,2016-07-01
Grenada County, Mississippi,21275,2016-07-01
Hancock County, Mississippi,46791,2016-07-01
Gasconade County, Missouri,14808,2016-07-01
Gentry County, Missouri,6661,2016-07-01
Greene County, Missouri,288690,2016-07-01
Grundy County, Missouri,10165,2016-07-01
Harrison County, Missouri,8556,2016-07-01
Henry County, Missouri,21594,2016-07-01
Hickory County, Missouri,9269,2016-07-01
Montgomery County, Maryland,1043863,2016-07-01
Prince George's County, Maryland,908049,2016-07-01
Queen Anne's County, Maryland,48929,2016-07-01
St. Mary's County, Maryland,112587,2016-07-01
Somerset County, Maryland,25928,2016-07-01
Talbot County, Maryland,37278,2016-07-01
Becker County, Minnesota,33734,2016-07-01
Beltrami County, Minnesota,46106,2016-07-01
Benton County, Minnesota,39992,2016-07-01
Big Stone County, Minnesota,5050,2016-07-01
Blue Earth County, Minnesota,66441,2016-07-01
Brown County, Minnesota,25331,2016-07-01
Harrison County, Mississippi,203234,2016-07-01
Hinds County, Mississippi,241229,2016-07-01
Holmes County, Mississippi,17999,2016-07-01
Humphreys County, Mississippi,8513,2016-07-01
Issaquena County, Mississippi,1294,2016-07-01
Itawamba County, Mississippi,23529,2016-07-01
Jackson County, Mississippi,141241,2016-07-01
Holt County, Missouri,4448,2016-07-01
Howard County, Missouri,10058,2016-07-01
Howell County, Missouri,40210,2016-07-01
Iron County, Missouri,10022,2016-07-01
Jackson County, Missouri,691801,2016-07-01
Jasper County, Missouri,119111,2016-07-01
Jefferson County, Missouri,224226,2016-07-01
Washington County, Maryland,150292,2016-07-01
Wicomico County, Maryland,102577,2016-07-01
Worcester County, Maryland,51444,2016-07-01
Baltimore city, Maryland,614664,2016-07-01
Barnstable County, Massachusetts,214276,2016-07-01
Berkshire County, Massachusetts,126903,2016-07-01
Bristol County, Massachusetts,558324,2016-07-01
Carlton County, Minnesota,35738,2016-07-01
Carver County, Minnesota,100262,2016-07-01
Cass County, Minnesota,28993,2016-07-01
Chippewa County, Minnesota,12133,2016-07-01
Chisago County, Minnesota,54748,2016-07-01
Clay County, Minnesota,62875,2016-07-01
Clearwater County, Minnesota,8827,2016-07-01
Jasper County, Mississippi,16578,2016-07-01
Jefferson County, Mississippi,7297,2016-07-01
Jefferson Davis County, Mississippi,11385,2016-07-01
Jones County, Mississippi,67953,2016-07-01
Kemper County, Mississippi,9896,2016-07-01
Lafayette County, Mississippi,53796,2016-07-01
Lamar County, Mississippi,60914,2016-07-01
Johnson County, Missouri,53942,2016-07-01
Knox County, Missouri,3934,2016-07-01
Laclede County, Missouri,35490,2016-07-01
Lafayette County, Missouri,32618,2016-07-01
Lawrence County, Missouri,38381,2016-07-01
Lewis County, Missouri,10134,2016-07-01
Lincoln County, Missouri,55267,2016-07-01
Dukes County, Massachusetts,17246,2016-07-01
Essex County, Massachusetts,779018,2016-07-01
Franklin County, Massachusetts,70382,2016-07-01
Hampden County, Massachusetts,468467,2016-07-01
Hampshire County, Massachusetts,161816,2016-07-01
Middlesex County, Massachusetts,1589774,2016-07-01
Nantucket County, Massachusetts,11008,2016-07-01
Cook County, Minnesota,5286,2016-07-01
Cottonwood County, Minnesota,11470,2016-07-01
Crow Wing County, Minnesota,63940,2016-07-01
Dakota County, Minnesota,417486,2016-07-01
Dodge County, Minnesota,20506,2016-07-01
Douglas County, Minnesota,37456,2016-07-01
Faribault County, Minnesota,13935,2016-07-01
Lauderdale County, Mississippi,77755,2016-07-01
Lawrence County, Mississippi,12749,2016-07-01
Leake County, Mississippi,22620,2016-07-01
Lee County, Mississippi,85381,2016-07-01
Leflore County, Mississippi,29856,2016-07-01
Lincoln County, Mississippi,34523,2016-07-01
Linn County, Missouri,12164,2016-07-01
Livingston County, Missouri,15235,2016-07-01
McDonald County, Missouri,22620,2016-07-01
Macon County, Missouri,15170,2016-07-01
Madison County, Missouri,12443,2016-07-01
Maries County, Missouri,8858,2016-07-01
Marion County, Missouri,28894,2016-07-01
Norfolk County, Massachusetts,697181,2016-07-01
Plymouth County, Massachusetts,513565,2016-07-01
Suffolk County, Massachusetts,784230,2016-07-01
Worcester County, Massachusetts,819589,2016-07-01
Alcona County, Michigan,10352,2016-07-01
Alger County, Michigan,9219,2016-07-01
Fillmore County, Minnesota,21003,2016-07-01
Freeborn County, Minnesota,30446,2016-07-01
Goodhue County, Minnesota,46676,2016-07-01
Grant County, Minnesota,5956,2016-07-01
Hennepin County, Minnesota,1232483,2016-07-01
Houston County, Minnesota,18814,2016-07-01
Hubbard County, Minnesota,20718,2016-07-01
Lowndes County, Mississippi,59602,2016-07-01
Madison County, Mississippi,105114,2016-07-01
Marion County, Mississippi,25251,2016-07-01
Marshall County, Mississippi,35801,2016-07-01
Monroe County, Mississippi,35873,2016-07-01
Montgomery County, Mississippi,10187,2016-07-01
Neshoba County, Mississippi,29403,2016-07-01
Mercer County, Missouri,3699,2016-07-01
Miller County, Missouri,25206,2016-07-01
Mississippi County, Missouri,13799,2016-07-01
Moniteau County, Missouri,16018,2016-07-01
Monroe County, Missouri,8558,2016-07-01
Montgomery County, Missouri,11620,2016-07-01
Allegan County, Michigan,115548,2016-07-01
Alpena County, Michigan,28704,2016-07-01
Antrim County, Michigan,23144,2016-07-01
Arenac County, Michigan,15122,2016-07-01
Baraga County, Michigan,8503,2016-07-01
Barry County, Michigan,59702,2016-07-01
Bay County, Michigan,104747,2016-07-01
Isanti County, Minnesota,39025,2016-07-01
Itasca County, Minnesota,45242,2016-07-01
Jackson County, Minnesota,9944,2016-07-01
Kanabec County, Minnesota,15830,2016-07-01
Kandiyohi County, Minnesota,42495,2016-07-01
Kittson County, Minnesota,4333,2016-07-01
Koochiching County, Minnesota,12628,2016-07-01
Newton County, Mississippi,21558,2016-07-01
Noxubee County, Mississippi,11038,2016-07-01
Oktibbeha County, Mississippi,49833,2016-07-01
Panola County, Mississippi,34164,2016-07-01
Pearl River County, Mississippi,55310,2016-07-01
Perry County, Mississippi,12245,2016-07-01
Pike County, Mississippi,39667,2016-07-01
Morgan County, Missouri,20213,2016-07-01
New Madrid County, Missouri,17915,2016-07-01
Newton County, Missouri,58694,2016-07-01
Nodaway County, Missouri,22670,2016-07-01
Oregon County, Missouri,10789,2016-07-01
Osage County, Missouri,13664,2016-07-01
Ozark County, Missouri,9237,2016-07-01
Benzie County, Michigan,17572,2016-07-01
Berrien County, Michigan,154010,2016-07-01
Branch County, Michigan,43427,2016-07-01
Calhoun County, Michigan,134386,2016-07-01
Cass County, Michigan,51599,2016-07-01
Charlevoix County, Michigan,26174,2016-07-01
Cheboygan County, Michigan,25401,2016-07-01
Lac qui Parle County, Minnesota,6715,2016-07-01
Lake County, Minnesota,10625,2016-07-01
Lake of the Woods County, Minnesota,3814,2016-07-01
Le Sueur County, Minnesota,27591,2016-07-01
Lincoln County, Minnesota,5783,2016-07-01
Lyon County, Minnesota,25699,2016-07-01
Pontotoc County, Mississippi,31550,2016-07-01
Prentiss County, Mississippi,25256,2016-07-01
Quitman County, Mississippi,7349,2016-07-01
Rankin County, Mississippi,150228,2016-07-01
Scott County, Mississippi,28207,2016-07-01
Sharkey County, Mississippi,4552,2016-07-01
Pemiscot County, Missouri,17073,2016-07-01
Perry County, Missouri,19285,2016-07-01
Pettis County, Missouri,42213,2016-07-01
Phelps County, Missouri,44608,2016-07-01
Pike County, Missouri,18438,2016-07-01
Platte County, Missouri,98309,2016-07-01
Polk County, Missouri,31285,2016-07-01
Chippewa County, Michigan,37724,2016-07-01
Clare County, Michigan,30358,2016-07-01
Clinton County, Michigan,77888,2016-07-01
Crawford County, Michigan,13744,2016-07-01
Delta County, Michigan,36202,2016-07-01
Dickinson County, Michigan,25535,2016-07-01
Eaton County, Michigan,109160,2016-07-01
McLeod County, Minnesota,35842,2016-07-01
Mahnomen County, Minnesota,5465,2016-07-01
Marshall County, Minnesota,9324,2016-07-01
Martin County, Minnesota,19829,2016-07-01
Meeker County, Minnesota,23110,2016-07-01
Mille Lacs County, Minnesota,25866,2016-07-01
Morrison County, Minnesota,32821,2016-07-01
Simpson County, Mississippi,26912,2016-07-01
Smith County, Mississippi,15909,2016-07-01
Stone County, Mississippi,18012,2016-07-01
Sunflower County, Mississippi,26407,2016-07-01
Tallahatchie County, Mississippi,14394,2016-07-01
Tate County, Mississippi,28201,2016-07-01
Tippah County, Mississippi,22190,2016-07-01
Pulaski County, Missouri,52654,2016-07-01
Putnam County, Missouri,4853,2016-07-01
Ralls County, Missouri,10224,2016-07-01
Randolph County, Missouri,24989,2016-07-01
Ray County, Missouri,22754,2016-07-01
Reynolds County, Missouri,6455,2016-07-01
Ripley County, Missouri,13817,2016-07-01
Emmet County, Michigan,33182,2016-07-01
Genesee County, Michigan,408615,2016-07-01
Gladwin County, Michigan,25122,2016-07-01
Gogebic County, Michigan,15243,2016-07-01
Grand Traverse County, Michigan,92084,2016-07-01
Gratiot County, Michigan,41202,2016-07-01
Hillsdale County, Michigan,45774,2016-07-01
Mower County, Minnesota,39163,2016-07-01
Murray County, Minnesota,8329,2016-07-01
Nicollet County, Minnesota,33575,2016-07-01
Nobles County, Minnesota,21848,2016-07-01
Norman County, Minnesota,6579,2016-07-01
Olmsted County, Minnesota,153102,2016-07-01
Otter Tail County, Minnesota,58085,2016-07-01
Tishomingo County, Mississippi,19491,2016-07-01
Tunica County, Mississippi,10234,2016-07-01
Union County, Mississippi,28311,2016-07-01
Walthall County, Mississippi,14599,2016-07-01
Warren County, Mississippi,47140,2016-07-01
Washington County, Mississippi,47231,2016-07-01
Wayne County, Mississippi,20480,2016-07-01
St. Charles County, Missouri,390918,2016-07-01
St. Clair County, Missouri,9272,2016-07-01
Ste. Genevieve County, Missouri,18030,2016-07-01
St. Francois County, Missouri,66627,2016-07-01
St. Louis County, Missouri,998581,2016-07-01
Saline County, Missouri,22980,2016-07-01
Schuyler County, Missouri,4394,2016-07-01
Houghton County, Michigan,36555,2016-07-01
Huron County, Michigan,31481,2016-07-01
Ingham County, Michigan,288051,2016-07-01
Ionia County, Michigan,64232,2016-07-01
Iosco County, Michigan,25327,2016-07-01
Iron County, Michigan,11195,2016-07-01
Isabella County, Michigan,71282,2016-07-01
Pennington County, Minnesota,14235,2016-07-01
Pine County, Minnesota,28874,2016-07-01
Pipestone County, Minnesota,9202,2016-07-01
Polk County, Minnesota,31660,2016-07-01
Pope County, Minnesota,11049,2016-07-01
Ramsey County, Minnesota,540649,2016-07-01
Red Lake County, Minnesota,4007,2016-07-01
Tensas Parish, Louisiana,4597,2016-07-01
Terrebonne Parish, Louisiana,113220,2016-07-01
Union Parish, Louisiana,22487,2016-07-01
Vermilion Parish, Louisiana,60205,2016-07-01
Vernon Parish, Louisiana,50569,2016-07-01
Washington Parish, Louisiana,46310,2016-07-01
Henry County, Iowa,19773,2016-07-01
Howard County, Iowa,9332,2016-07-01
Humboldt County, Iowa,9487,2016-07-01
Ida County, Iowa,6985,2016-07-01
Iowa County, Iowa,16311,2016-07-01
Jackson County, Iowa,19472,2016-07-01
Jasper County, Iowa,36708,2016-07-01
Marion County, Kansas,12112,2016-07-01
Marshall County, Kansas,9836,2016-07-01
Meade County, Kansas,4216,2016-07-01
Miami County, Kansas,32964,2016-07-01
Mitchell County, Kansas,6243,2016-07-01
Montgomery County, Kansas,32746,2016-07-01
Morris County, Kansas,5573,2016-07-01
Lee County, Kentucky,6580,2016-07-01
Leslie County, Kentucky,10538,2016-07-01
Letcher County, Kentucky,22773,2016-07-01
Lewis County, Kentucky,13442,2016-07-01
Lincoln County, Kentucky,24372,2016-07-01
Livingston County, Kentucky,9269,2016-07-01
Logan County, Kentucky,26593,2016-07-01
Webster Parish, Louisiana,39710,2016-07-01
West Baton Rouge Parish, Louisiana,25795,2016-07-01
West Carroll Parish, Louisiana,11114,2016-07-01
West Feliciana Parish, Louisiana,15344,2016-07-01
Winn Parish, Louisiana,14376,2016-07-01
Androscoggin County, Maine,107319,2016-07-01
Aroostook County, Maine,67959,2016-07-01
Jefferson County, Iowa,18090,2016-07-01
Johnson County, Iowa,146547,2016-07-01
Jones County, Iowa,20439,2016-07-01
Keokuk County, Iowa,10119,2016-07-01
Kossuth County, Iowa,15114,2016-07-01
Lee County, Iowa,34615,2016-07-01
Linn County, Iowa,221661,2016-07-01
Morton County, Kansas,2848,2016-07-01
Nemaha County, Kansas,10241,2016-07-01
Neosho County, Kansas,16146,2016-07-01
Ness County, Kansas,2962,2016-07-01
Norton County, Kansas,5493,2016-07-01
Osage County, Kansas,15843,2016-07-01
Osborne County, Kansas,3642,2016-07-01
Lyon County, Kentucky,8069,2016-07-01
McCracken County, Kentucky,65162,2016-07-01
McCreary County, Kentucky,17511,2016-07-01
McLean County, Kentucky,9475,2016-07-01
Madison County, Kentucky,89547,2016-07-01
Magoffin County, Kentucky,12684,2016-07-01
Marion County, Kentucky,19205,2016-07-01
Cumberland County, Maine,292041,2016-07-01
Franklin County, Maine,30001,2016-07-01
Hancock County, Maine,54419,2016-07-01
Kennebec County, Maine,120569,2016-07-01
Knox County, Maine,39744,2016-07-01
Lincoln County, Maine,34216,2016-07-01
Oxford County, Maine,57217,2016-07-01
Louisa County, Iowa,11142,2016-07-01
Lucas County, Iowa,8647,2016-07-01
Lyon County, Iowa,11754,2016-07-01
Madison County, Iowa,15848,2016-07-01
Mahaska County, Iowa,22181,2016-07-01
Marion County, Iowa,33189,2016-07-01
Marshall County, Iowa,40312,2016-07-01
Ottawa County, Kansas,5920,2016-07-01
Pawnee County, Kansas,6743,2016-07-01
Phillips County, Kansas,5428,2016-07-01
Pottawatomie County, Kansas,23661,2016-07-01
Pratt County, Kansas,9584,2016-07-01
Rawlins County, Kansas,2549,2016-07-01
Reno County, Kansas,63220,2016-07-01
Marshall County, Kentucky,31365,2016-07-01
Martin County, Kentucky,12002,2016-07-01
Mason County, Kentucky,17190,2016-07-01
Meade County, Kentucky,28126,2016-07-01
Menifee County, Kentucky,6408,2016-07-01
Mercer County, Kentucky,21477,2016-07-01
Metcalfe County, Kentucky,10018,2016-07-01
Penobscot County, Maine,151806,2016-07-01
Piscataquis County, Maine,16843,2016-07-01
Sagadahoc County, Maine,35273,2016-07-01
Somerset County, Maine,50915,2016-07-01
Waldo County, Maine,39364,2016-07-01
Washington County, Maine,31450,2016-07-01
York County, Maine,202343,2016-07-01
Mills County, Iowa,14972,2016-07-01
Mitchell County, Iowa,10763,2016-07-01
Monona County, Iowa,8898,2016-07-01
Monroe County, Iowa,7870,2016-07-01
Montgomery County, Iowa,10225,2016-07-01
Muscatine County, Iowa,42940,2016-07-01
O'Brien County, Iowa,14020,2016-07-01
Republic County, Kansas,4699,2016-07-01
Rice County, Kansas,9831,2016-07-01
Riley County, Kansas,73343,2016-07-01
Rooks County, Kansas,5076,2016-07-01
Rush County, Kansas,3058,2016-07-01
Russell County, Kansas,6988,2016-07-01
Saline County, Kansas,55142,2016-07-01
Scott County, Kansas,5032,2016-07-01
Monroe County, Kentucky,10588,2016-07-01
Montgomery County, Kentucky,27771,2016-07-01
Morgan County, Kentucky,13298,2016-07-01
Muhlenberg County, Kentucky,31028,2016-07-01
Nelson County, Kentucky,45559,2016-07-01
Nicholas County, Kentucky,7084,2016-07-01
Allegany County, Maryland,72130,2016-07-01
Anne Arundel County, Maryland,568346,2016-07-01
Baltimore County, Maryland,831026,2016-07-01
Calvert County, Maryland,91251,2016-07-01
Caroline County, Maryland,32850,2016-07-01
Carroll County, Maryland,167656,2016-07-01
Cecil County, Maryland,102603,2016-07-01
Osceola County, Iowa,6064,2016-07-01
Page County, Iowa,15391,2016-07-01
Palo Alto County, Iowa,9047,2016-07-01
Plymouth County, Iowa,25200,2016-07-01
Pocahontas County, Iowa,6886,2016-07-01
Polk County, Iowa,474045,2016-07-01
Pottawattamie County, Iowa,93582,2016-07-01
Sedgwick County, Kansas,511995,2016-07-01
Seward County, Kansas,22709,2016-07-01
Shawnee County, Kansas,178146,2016-07-01
Sheridan County, Kansas,2509,2016-07-01
Sherman County, Kansas,5965,2016-07-01
Smith County, Kansas,3632,2016-07-01
Stafford County, Kansas,4208,2016-07-01
Ohio County, Kentucky,24378,2016-07-01
